Pet_ageMonths,Breed_primary,Breed_secondary,Color,Outcome_Type,Outcome_Rating,Fixed,Sex
24,Pit Bull Mix,,Blue/White,Adoption,Positive,Spayed,Female
36,Pit Bull Mix,,Blue/White,Adoption,Positive,Spayed,Female
24,Pit Bull Mix,,Brown/White,Adoption,Positive,Spayed,Female
72,Pit Bull Mix,,White/Blue,Adoption,Positive,Spayed,Female
24,Pit Bull Mix,,Blue/White,Adoption,Positive,Spayed,Female
24,Pit Bull Mix,,White,Adoption,Positive,Spayed,Female
24,Pit Bull Mix,,Brown,Adoption,Positive,Spayed,Female
24,Pit Bull Mix,,White/Brown,Adoption,Positive,Spayed,Female
24,Pit Bull Mix,,Brown/White,Adoption,Positive,Spayed,Female
36,Pit Bull Mix,,Tan/White,Adoption,Positive,Spayed,Female
72,Pit Bull Mix,,White/Chocolate,Adoption,Positive,Spayed,Female
24,Pit Bull Mix,,Blue/White,Adoption,Positive,Spayed,Female
24,Pit Bull Mix,,Blue/White,Adoption,Positive,Spayed,Female
36,Pit Bull Mix,,Tan/White,Adoption,Positive,Spayed,Female
24,Pit Bull Mix,,Brown Brindle/White,Adoption,Positive,Spayed,Female
60,Pit Bull Mix,,Tan/Black,Adoption,Positive,Spayed,Female
108,Pit Bull Mix,,Fawn/White,Adoption,Positive,Spayed,Female
24,Pit Bull Mix,,Black/White,Adoption,Positive,Spayed,Female
48,Pit Bull Mix,,White/Brown,Adoption,Positive,Spayed,Female
24,Pit Bull Mix,,Blue/White,Adoption,Positive,Spayed,Female
36,Pit Bull Mix,,Brown Brindle,Adoption,Positive,Spayed,Female
24,Pit Bull Mix,,Tan/White,Adoption,Positive,Spayed,Female
60,Pit Bull Mix,,Brown Brindle/White,Adoption,Positive,Spayed,Female
36,Pit Bull Mix,,White/Blue Cream,Adoption,Positive,Spayed,Female
60,Pit Bull Mix,,Tan/White,Adoption,Positive,Spayed,Female
60,Pit Bull Mix,,Chocolate/White,Adoption,Positive,Spayed,Female
60,Pit Bull Mix,,Brown/White,Adoption,Positive,Spayed,Female
84,Pit Bull Mix,,Tan/White,Adoption,Positive,Spayed,Female
120,Pit Bull Mix,,Tan/White,Adoption,Positive,Spayed,Female
36,Pit Bull Mix,,Chocolate/White,Adoption,Positive,Spayed,Female
24,Pit Bull Mix,,White/Black,Adoption,Positive,Spayed,Female
48,Pit Bull Mix,,Blue/White,Adoption,Positive,Spayed,Female
36,Pit Bull Mix,,Blue,Adoption,Positive,Spayed,Female
24,Pit Bull Mix,,Blue,Adoption,Positive,Spayed,Female
24,Pit Bull Mix,,Blue/White,Adoption,Positive,Spayed,Female
24,Pit Bull Mix,,Tan/White,Adoption,Positive,Spayed,Female
24,Pit Bull Mix,,Brown Brindle/White,Adoption,Positive,Spayed,Female
60,Pit Bull Mix,,Blue/White,Adoption,Positive,Spayed,Female
36,Pit Bull Mix,,White/Tan,Adoption,Positive,Spayed,Female
24,Pit Bull Mix,,Black/White,Adoption,Positive,Spayed,Female
24,Pit Bull Mix,,Brown Brindle/White,Adoption,Positive,Spayed,Female
24,Pit Bull Mix,,Blue/White,Adoption,Positive,Spayed,Female
60,Pit Bull Mix,,White/Black,Adoption,Positive,Spayed,Female
24,Pit Bull Mix,,Tan/White,Adoption,Positive,Spayed,Female
60,Pit Bull Mix,,Brown Brindle,Adoption,Positive,Spayed,Female
24,Pit Bull Mix,,Black/White,Adoption,Positive,Spayed,Female
24,Pit Bull Mix,,Brown Brindle,Adoption,Positive,Spayed,Female
36,Pit Bull Mix,,Blue/White,Adoption,Positive,Spayed,Female
60,Pit Bull Mix,,Brown/White,Adoption,Positive,Spayed,Female
36,Pit Bull Mix,,Black/White,Adoption,Positive,Spayed,Female
24,Pit Bull Mix,,Chocolate/White,Adoption,Positive,Spayed,Female
36,Pit Bull Mix,,White/Blue,Adoption,Positive,Spayed,Female
36,Pit Bull Mix,,Black/White,Adoption,Positive,Spayed,Female
24,Pit Bull Mix,,Black/White,Adoption,Positive,Spayed,Female
24,Pit Bull Mix,,Brown/White,Adoption,Positive,Spayed,Female
24,Pit Bull Mix,,White,Adoption,Positive,Spayed,Female
24,Pit Bull Mix,,Brown/White,Adoption,Positive,Spayed,Female
24,Pit Bull Mix,,Blue/White,Adoption,Positive,Spayed,Female
24,Pit Bull Mix,,Fawn/White,Adoption,Positive,Spayed,Female
24,Pit Bull Mix,,Blue/White,Adoption,Positive,Spayed,Female
24,Pit Bull Mix,,Brown,Adoption,Positive,Spayed,Female
24,Pit Bull Mix,,Brown Brindle,Adoption,Positive,Spayed,Female
48,Pit Bull Mix,,Black/White,Adoption,Positive,Spayed,Female
24,Pit Bull Mix,,Brown/White,Adoption,Positive,Spayed,Female
24,Pit Bull Mix,,White/Brown Brindle,Adoption,Positive,Spayed,Female
24,Pit Bull Mix,,White/Tan,Adoption,Positive,Spayed,Female
60,Pit Bull Mix,,Tan/White,Adoption,Positive,Spayed,Female
96,Pit Bull Mix,,Black Brindle/White,Adoption,Positive,Spayed,Female
24,Pit Bull Mix,,Chocolate/White,Adoption,Positive,Spayed,Female
24,Pit Bull Mix,,Black/White,Adoption,Positive,Spayed,Female
36,Pit Bull Mix,,Blue/White,Adoption,Positive,Spayed,Female
36,Pit Bull Mix,,White/Brown Brindle,Adoption,Positive,Spayed,Female
24,Pit Bull Mix,,Brown/White,Adoption,Positive,Spayed,Female
48,Pit Bull Mix,,Brown/White,Adoption,Positive,Spayed,Female
36,Pit Bull Mix,,Blue/White,Adoption,Positive,Spayed,Female
24,Pit Bull Mix,,Fawn/White,Adoption,Positive,Spayed,Female
24,Pit Bull Mix,,Buff,Adoption,Positive,Spayed,Female
24,Pit Bull Mix,,Brown/White,Adoption,Positive,Spayed,Female
36,Pit Bull Mix,,Blue/White,Adoption,Positive,Spayed,Female
24,Pit Bull Mix,,Blue/White,Adoption,Positive,Spayed,Female
24,Pit Bull Mix,,Blue/White,Adoption,Positive,Spayed,Female
24,Pit Bull Mix,,Brown,Adoption,Positive,Spayed,Female
36,Pit Bull Mix,,Red/White,Adoption,Positive,Spayed,Female
36,Pit Bull Mix,,Black/White,Adoption,Positive,Spayed,Female
72,Pit Bull Mix,,Blue/White,Adoption,Positive,Spayed,Female
24,Pit Bull Mix,,White/Black,Adoption,Positive,Spayed,Female
24,Pit Bull Mix,,Black/White,Adoption,Positive,Spayed,Female
72,Pit Bull Mix,,Black Tiger/White,Adoption,Positive,Spayed,Female
24,Pit Bull Mix,,White/Brown Brindle,Adoption,Positive,Spayed,Female
36,Pit Bull Mix,,Brown Brindle/White,Adoption,Positive,Spayed,Female
36,Pit Bull Mix,,White/Brown,Adoption,Positive,Spayed,Female
24,Pit Bull Mix,,Tan/White,Adoption,Positive,Spayed,Female
24,Pit Bull Mix,,Black/White,Adoption,Positive,Spayed,Female
60,Pit Bull Mix,,Blue/White,Adoption,Positive,Spayed,Female
36,Pit Bull Mix,,Tan/White,Adoption,Positive,Spayed,Female
72,Pit Bull Mix,,White/Brown Brindle,Adoption,Positive,Spayed,Female
36,Pit Bull Mix,,White/Brown,Adoption,Positive,Spayed,Female
24,Pit Bull Mix,,Blue/White,Adoption,Positive,Spayed,Female
24,Pit Bull Mix,,Black/White,Adoption,Positive,Spayed,Female
24,Pit Bull Mix,,Tan/White,Adoption,Positive,Spayed,Female
24,Pit Bull Mix,,Brown/White,Adoption,Positive,Spayed,Female
36,Pit Bull Mix,,Black/White,Adoption,Positive,Spayed,Female
60,Pit Bull Mix,,Black/White,Adoption,Positive,Spayed,Female
24,Pit Bull Mix,,Tan,Adoption,Positive,Spayed,Female
72,Pit Bull Mix,,White,Adoption,Positive,Spayed,Female
24,Pit Bull Mix,,Tan/White,Adoption,Positive,Spayed,Female
60,Pit Bull Mix,,Tan/White,Adoption,Positive,Spayed,Female
24,Pit Bull Mix,,Brown/White,Adoption,Positive,Spayed,Female
24,Pit Bull Mix,,Black/White,Adoption,Positive,Spayed,Female
60,Pit Bull Mix,,White/Brown,Adoption,Positive,Spayed,Female
36,Pit Bull Mix,,Chocolate/White,Adoption,Positive,Spayed,Female
24,Pit Bull Mix,,White/Black Brindle,Adoption,Positive,Spayed,Female
24,Pit Bull Mix,,Brown Brindle/White,Adoption,Positive,Spayed,Female
36,Pit Bull Mix,,White,Adoption,Positive,Spayed,Female
48,Pit Bull Mix,,White/Red,Adoption,Positive,Spayed,Female
60,Pit Bull Mix,,Black/White,Adoption,Positive,Spayed,Female
72,Pit Bull Mix,,Black/White,Adoption,Positive,Spayed,Female
36,Pit Bull Mix,,Brown/White,Adoption,Positive,Spayed,Female
60,Pit Bull Mix,,Fawn/White,Adoption,Positive,Spayed,Female
1,Pit Bull,,Black/White,Adoption,Positive,Neutered,Male
5,Pit Bull,,White,Adoption,Positive,Neutered,Male
12,Pit Bull,,Brown Brindle/White,Adoption,Positive,Neutered,Male
60,Pit Bull,,Black,Adoption,Positive,Neutered,Male
72,Pit Bull,,White/Tan,Adoption,Positive,Neutered,Male
72,Pit Bull,,Brown Brindle/White,Adoption,Positive,Neutered,Male
60,Pit Bull,,Blue/White,Adoption,Positive,Neutered,Male
24,Pit Bull,,Red,Adoption,Positive,Neutered,Male
24,Pit Bull,,Tan/White,Adoption,Positive,Neutered,Male
6,Pit Bull,,Black/White,Adoption,Positive,Spayed,Female
10,Pit Bull,,Brown/White,Adoption,Positive,Spayed,Female
6,Pit Bull,,White,Adoption,Positive,Spayed,Female
12,Pit Bull,,Black/White,Adoption,Positive,Spayed,Female
48,Pit Bull,,Black/White,Adoption,Positive,Spayed,Female
24,Pit Bull,,Blue/White,Adoption,Positive,Spayed,Female
36,Pit Bull,,Red/White,Adoption,Positive,Spayed,Female
96,Pit Bull,,Blue/White,Adoption,Positive,Spayed,Female
60,Pit Bull,,Blue/White,Adoption,Positive,Spayed,Female
108,Pit Bull,,Black/White,Adoption,Positive,Spayed,Female
96,Pit Bull,,Blue/White,Adoption,Positive,Spayed,Female
12,Picardy Sheepdog Mix,,Cream,Adoption,Positive,Neutered,Male
24,Pharaoh Hound,Border Collie,Black/White,Adoption,Positive,Spayed,Female
10,Pharaoh Hound Mix,,Fawn/White,Adoption,Positive,Neutered,Male
11,Pharaoh Hound Mix,,Yellow/White,Adoption,Positive,Neutered,Male
12,Pharaoh Hound Mix,,Brown,Adoption,Positive,Neutered,Male
8,Pharaoh Hound Mix,,Tan,Adoption,Positive,Spayed,Female
8,Pharaoh Hound Mix,,Tan,Adoption,Positive,Spayed,Female
12,Pharaoh Hound,,Red/White,Adoption,Positive,Spayed,Female
12,Pembroke Welsh Corgi,Pit Bull,Tricolor,Adoption,Positive,Neutered,Male
24,Pembroke Welsh Corgi,Golden Retriever,Tan,Adoption,Positive,Spayed,Female
5,Pembroke Welsh Corgi,German Shepherd,Tricolor,Adoption,Positive,Spayed,Female
12,Pembroke Welsh Corgi,Dachshund,Black/White,Adoption,Positive,Neutered,Male
24,Pembroke Welsh Corgi,Chihuahua Shorthair,Tan/White,Adoption,Positive,Spayed,Female
2,Pembroke Welsh Corgi Mix,,Brown/White,Adoption,Positive,Neutered,Male
11,Pembroke Welsh Corgi Mix,,Tricolor,Adoption,Positive,Neutered,Male
4,Pembroke Welsh Corgi Mix,,White/Cream,Adoption,Positive,Neutered,Male
12,Pembroke Welsh Corgi Mix,,Tan/White,Adoption,Positive,Neutered,Male
36,Pembroke Welsh Corgi Mix,,Brown,Adoption,Positive,Neutered,Male
24,Pembroke Welsh Corgi Mix,,Tricolor,Adoption,Positive,Neutered,Male
168,Pembroke Welsh Corgi Mix,,Sable,Adoption,Positive,Spayed,Female
24,Pembroke Welsh Corgi Mix,,Black/White,Adoption,Positive,Spayed,Female
36,Pembroke Welsh Corgi Mix,,Tricolor,Adoption,Positive,Spayed,Female
48,Pembroke Welsh Corgi,,Tricolor,Adoption,Positive,Neutered,Male
24,Pembroke Welsh Corgi,,Sable/White,Adoption,Positive,Neutered,Male
12,Pekingese Mix,,White/Buff,Adoption,Positive,Neutered,Male
24,Pekingese Mix,,Tan/White,Adoption,Positive,Neutered,Male
24,Pekingese Mix,,Brown/White,Adoption,Positive,Neutered,Male
24,Pekingese Mix,,Black/White,Adoption,Positive,Neutered,Male
24,Pekingese Mix,,White/Black,Adoption,Positive,Spayed,Female
24,Pekingese Mix,,Tan/Black,Adoption,Positive,Spayed,Female
24,Pekingese Mix,,White,Adoption,Positive,Spayed,Female
12,Pbgv Mix,,Brown/White,Adoption,Positive,Neutered,Male
60,Pbgv Mix,,White/Brown,Adoption,Positive,Neutered,Male
12,Pbgv Mix,,Black,Adoption,Positive,Spayed,Female
24,Pbgv Mix,,White/Tan,Adoption,Positive,Spayed,Female
8,Pbgv,,Tricolor,Adoption,Positive,Neutered,Male
24,Pbgv,,White/Gray,Adoption,Positive,Neutered,Male
84,Pbgv,,Brown/Black,Adoption,Positive,Neutered,Male
8,Pbgv,,Brown,Adoption,Positive,Spayed,Female
8,Pbgv,,White/Tan,Adoption,Positive,Spayed,Female
24,Patterdale Terr,Chihuahua Shorthair,Black/White,Adoption,Positive,Spayed,Female
1,Patterdale Terr Mix,,Black/White,Adoption,Positive,Intact,Male
24,Patterdale Terr Mix,,Black/White,Adoption,Positive,Intact,Female
5,Patterdale Terr Mix,,Black,Adoption,Positive,Neutered,Male
120,Patterdale Terr Mix,,Brown/Tan,Adoption,Positive,Spayed,Female
6,Parson Russell Terrier Mix,,White/Tan,Adoption,Positive,Neutered,Male
12,Parson Russell Terrier Mix,,White/Orange,Adoption,Positive,Neutered,Male
72,Parson Russell Terrier Mix,,White/Tricolor,Adoption,Positive,Neutered,Male
60,Parson Russell Terrier Mix,,White/Brown Brindle,Adoption,Positive,Neutered,Male
60,Parson Russell Terrier Mix,,White/Tan,Adoption,Positive,Neutered,Male
2,Parson Russell Terrier Mix,,White/Brown Brindle,Adoption,Positive,Spayed,Female
12,Parson Russell Terrier Mix,,Black/White,Adoption,Positive,Spayed,Female
72,Parson Russell Terrier Mix,,White/Black,Adoption,Positive,Spayed,Female
96,Parson Russell Terrier,,White/Brown,Adoption,Positive,Neutered,Male
24,Papillon,Skye Terrier,White/Brown,Adoption,Positive,Spayed,Female
12,Papillon,Pomeranian,Gold,Adoption,Positive,Spayed,Female
72,Papillon,Chihuahua Shorthair,Tan/White,Adoption,Positive,Neutered,Male
9,Papillon Mix,,White/Black,Adoption,Positive,Neutered,Male
12,Papillon Mix,,Tan/White,Adoption,Positive,Neutered,Male
24,Papillon Mix,,Red/Black,Adoption,Positive,Neutered,Male
24,Papillon Mix,,Black/White,Adoption,Positive,Neutered,Male
60,Papillon Mix,,Black/White,Adoption,Positive,Neutered,Male
24,Papillon Mix,,Tricolor,Adoption,Positive,Neutered,Male
120,Papillon Mix,,Cream/White,Adoption,Positive,Neutered,Male
12,Papillon Mix,,White,Adoption,Positive,Spayed,Female
72,Papillon Mix,,White/Tricolor,Adoption,Positive,Spayed,Female
36,Old English Bulldog Mix,,White/Brown Brindle,Adoption,Positive,Neutered,Male
48,Old English Bulldog Mix,,White/Tan,Adoption,Positive,Neutered,Male
9,Nova Scotia Duck Tolling Retriever,,Tan/White,Adoption,Positive,Neutered,Male
48,Norwich Terrier,Cairn Terrier,White,Adoption,Positive,Neutered,Male
36,Norwich Terrier,Border Terrier,Tricolor,Adoption,Positive,Spayed,Female
12,Norwich Terrier Mix,,Red,Adoption,Positive,Neutered,Male
12,Norwich Terrier Mix,,Brown,Adoption,Positive,Neutered,Male
60,Norwich Terrier Mix,,Tan,Adoption,Positive,Neutered,Male
24,Norwich Terrier Mix,,Brown,Adoption,Positive,Neutered,Male
36,Norwich Terrier Mix,,Tan,Adoption,Positive,Neutered,Male
2,Norwich Terrier Mix,,Red,Adoption,Positive,Spayed,Female
12,Norwich Terrier Mix,,Black/Tricolor,Adoption,Positive,Spayed,Female
24,Norwich Terrier Mix,,Tan/White,Adoption,Positive,Spayed,Female
8,Norwegian Elkhound Mix,,Black,Adoption,Positive,Spayed,Female
12,Norfolk Terrier,Yorkshire Terrier,Tricolor,Adoption,Positive,Neutered,Male
12,Norfolk Terrier,Yorkshire Terrier,Tan/Black,Adoption,Positive,Spayed,Female
8,Norfolk Terrier,Cairn Terrier,White,Adoption,Positive,Neutered,Male
2,Norfolk Terrier Mix,,White/Buff,Adoption,Positive,Neutered,Male
8,Norfolk Terrier Mix,,Brown/White,Adoption,Positive,Neutered,Male
10,Norfolk Terrier Mix,,Tan/White,Adoption,Positive,Neutered,Male
12,Norfolk Terrier Mix,,Tan/White,Adoption,Positive,Neutered,Male
24,Norfolk Terrier Mix,,Tan/White,Adoption,Positive,Neutered,Male
24,Norfolk Terrier Mix,,White/Red,Adoption,Positive,Neutered,Male
48,Norfolk Terrier Mix,,Buff,Adoption,Positive,Neutered,Male
36,Norfolk Terrier Mix,,Tan/Red,Adoption,Positive,Neutered,Male
8,Norfolk Terrier Mix,,Black/White,Adoption,Positive,Spayed,Female
12,Norfolk Terrier Mix,,Brown/Black,Adoption,Positive,Spayed,Female
12,Norfolk Terrier Mix,,Black/Brown,Adoption,Positive,Spayed,Female
24,Norfolk Terrier Mix,,Brown/White,Adoption,Positive,Spayed,Female
36,Norfolk Terrier Mix,,Black/Tan,Adoption,Positive,Spayed,Female
24,Norfolk Terrier Mix,,Tan,Adoption,Positive,Spayed,Female
24,Norfolk Terrier,,Black/White,Adoption,Positive,Neutered,Male
12,Newfoundland,Queensland Heeler,Black/White,Adoption,Positive,Neutered,Male
48,Newfoundland,Labrador Retriever,Black/Brown,Adoption,Positive,Spayed,Female
72,Newfoundland,Border Collie,Black,Adoption,Positive,Neutered,Male
2,Newfoundland,Australian Cattle Dog,Black/White,Adoption,Positive,Neutered,Male
2,Newfoundland Mix,,White/Black,Adoption,Positive,Neutered,Male
2,Newfoundland Mix,,Black,Adoption,Positive,Spayed,Female
5,Newfoundland Mix,,Black/White,Adoption,Positive,Spayed,Female
12,Miniature Schnauzer,Yorkshire Terrier,White,Adoption,Positive,Neutered,Male
12,Miniature Schnauzer,Yorkshire Terrier,Black/White,Adoption,Positive,Spayed,Female
24,Miniature Schnauzer,Yorkshire Terrier,Black/Gray,Adoption,Positive,Spayed,Female
12,Miniature Schnauzer,West Highland,White,Adoption,Positive,Spayed,Female
24,Miniature Schnauzer,Shih Tzu,Gray/White,Adoption,Positive,Neutered,Male
12,Miniature Schnauzer,Scottish Terrier,Black/White,Adoption,Positive,Neutered,Male
24,Miniature Schnauzer,Miniature Poodle,White,Adoption,Positive,Intact,Female
10,Miniature Schnauzer,Miniature Poodle,Buff,Adoption,Positive,Neutered,Male
6,Miniature Schnauzer,Miniature Poodle,Gray/Tan,Adoption,Positive,Neutered,Male
2,Miniature Schnauzer,Miniature Poodle,Black,Adoption,Positive,Neutered,Male
2,Miniature Schnauzer,Miniature Poodle,White/Buff,Adoption,Positive,Neutered,Male
12,Miniature Schnauzer,Miniature Poodle,Silver,Adoption,Positive,Neutered,Male
12,Miniature Schnauzer,Miniature Poodle,Gray/White,Adoption,Positive,Neutered,Male
96,Miniature Schnauzer,Miniature Poodle,Black,Adoption,Positive,Neutered,Male
24,Miniature Schnauzer,Miniature Poodle,Buff,Adoption,Positive,Neutered,Male
24,Miniature Schnauzer,Miniature Poodle,White,Adoption,Positive,Neutered,Male
48,Miniature Schnauzer,Miniature Poodle,Gray,Adoption,Positive,Neutered,Male
120,Miniature Schnauzer,Miniature Poodle,White,Adoption,Positive,Neutered,Male
10,Miniature Schnauzer,Miniature Poodle,Black/White,Adoption,Positive,Spayed,Female
9,Miniature Schnauzer,Miniature Poodle,Buff/Brown,Adoption,Positive,Spayed,Female
12,Miniature Schnauzer,Miniature Poodle,Black/Gray,Adoption,Positive,Spayed,Female
36,Miniature Schnauzer,Miniature Poodle,Gray/White,Adoption,Positive,Spayed,Female
144,Miniature Schnauzer,Miniature Poodle,Gray,Adoption,Positive,Spayed,Female
48,Miniature Schnauzer,Miniature Poodle,Black,Adoption,Positive,Spayed,Female
36,Miniature Schnauzer,Miniature Poodle,Gray/White,Adoption,Positive,Spayed,Female
48,Miniature Schnauzer,Miniature Poodle,Sable/Tan,Adoption,Positive,Spayed,Female
12,Miniature Schnauzer,Maltese,White/Gray,Adoption,Positive,Spayed,Female
60,Miniature Schnauzer,Chihuahua Shorthair,Gray/White,Adoption,Positive,Neutered,Male
12,Miniature Schnauzer,Chihuahua Shorthair,Black,Adoption,Positive,Spayed,Female
36,Miniature Schnauzer,Cairn Terrier,Gray/Black,Adoption,Positive,Spayed,Female
36,Miniature Schnauzer,Australian Cattle Dog,Gray/White,Adoption,Positive,Neutered,Male
10,Miniature Schnauzer Mix,,Black/Buff,Adoption,Positive,Neutered,Male
2,Miniature Schnauzer Mix,,Black,Adoption,Positive,Neutered,Male
8,Miniature Schnauzer Mix,,Buff,Adoption,Positive,Neutered,Male
3,Miniature Schnauzer Mix,,Gray/White,Adoption,Positive,Neutered,Male
11,Miniature Schnauzer Mix,,Black/Gray,Adoption,Positive,Neutered,Male
11,Miniature Schnauzer Mix,,Black,Adoption,Positive,Neutered,Male
2,Miniature Schnauzer Mix,,White/Black,Adoption,Positive,Neutered,Male
3,Miniature Schnauzer Mix,,Black,Adoption,Positive,Neutered,Male
4,Miniature Schnauzer Mix,,Silver/Black,Adoption,Positive,Neutered,Male
3,Miniature Schnauzer Mix,,Tan,Adoption,Positive,Neutered,Male
2,Miniature Schnauzer Mix,,White/Buff,Adoption,Positive,Neutered,Male
2,Miniature Schnauzer Mix,,Buff/White,Adoption,Positive,Neutered,Male
4,Miniature Schnauzer Mix,,Black,Adoption,Positive,Neutered,Male
12,Miniature Schnauzer Mix,,White/Tan,Adoption,Positive,Neutered,Male
12,Miniature Schnauzer Mix,,Black/Tan,Adoption,Positive,Neutered,Male
12,Miniature Schnauzer Mix,,Black/White,Adoption,Positive,Neutered,Male
12,Miniature Schnauzer Mix,,Gray/White,Adoption,Positive,Neutered,Male
12,Miniature Schnauzer Mix,,Gray/Brown,Adoption,Positive,Neutered,Male
36,Miniature Schnauzer Mix,,Black/Gray,Adoption,Positive,Neutered,Male
24,Miniature Schnauzer Mix,,Black,Adoption,Positive,Neutered,Male
72,Miniature Schnauzer Mix,,Gray,Adoption,Positive,Neutered,Male
24,Miniature Schnauzer Mix,,Gray/White,Adoption,Positive,Neutered,Male
48,Miniature Schnauzer Mix,,Black,Adoption,Positive,Neutered,Male
48,Miniature Schnauzer Mix,,Black,Adoption,Positive,Neutered,Male
36,Miniature Schnauzer Mix,,Cream/Brown,Adoption,Positive,Neutered,Male
24,Miniature Schnauzer Mix,,Gray/White,Adoption,Positive,Neutered,Male
96,Miniature Schnauzer Mix,,Black/White,Adoption,Positive,Neutered,Male
84,Miniature Schnauzer Mix,,White,Adoption,Positive,Neutered,Male
36,Miniature Schnauzer Mix,,Black/White,Adoption,Positive,Neutered,Male
36,Miniature Schnauzer Mix,,Black/White,Adoption,Positive,Neutered,Male
60,Miniature Schnauzer Mix,,Black/Gray,Adoption,Positive,Neutered,Male
24,Miniature Schnauzer Mix,,Silver/Black,Adoption,Positive,Neutered,Male
48,Miniature Schnauzer Mix,,Gray,Adoption,Positive,Neutered,Male
144,Miniature Schnauzer Mix,,Black/Brown Brindle,Adoption,Positive,Neutered,Male
24,Miniature Schnauzer Mix,,Gray/White,Adoption,Positive,Neutered,Male
24,Miniature Schnauzer Mix,,Gray/White,Adoption,Positive,Neutered,Male
36,Miniature Schnauzer Mix,,Black/White,Adoption,Positive,Neutered,Male
36,Miniature Schnauzer Mix,,Gray,Adoption,Positive,Neutered,Male
24,Miniature Schnauzer Mix,,Gray,Adoption,Positive,Neutered,Male
24,Miniature Schnauzer Mix,,Black,Adoption,Positive,Neutered,Male
2,Miniature Schnauzer Mix,,Gray/White,Adoption,Positive,Spayed,Female
5,Miniature Schnauzer Mix,,Black/Brown,Adoption,Positive,Spayed,Female
11,Miniature Schnauzer Mix,,Black/Brown,Adoption,Positive,Spayed,Female
4,Miniature Schnauzer Mix,,Black/White,Adoption,Positive,Spayed,Female
5,Miniature Schnauzer Mix,,Black/Tan,Adoption,Positive,Spayed,Female
8,Miniature Schnauzer Mix,,Gray/Black,Adoption,Positive,Spayed,Female
12,Miniature Schnauzer Mix,,Blue Merle,Adoption,Positive,Spayed,Female
12,Miniature Schnauzer Mix,,Black/Brown,Adoption,Positive,Spayed,Female
24,Miniature Schnauzer Mix,,Silver,Adoption,Positive,Spayed,Female
24,Miniature Schnauzer Mix,,Buff,Adoption,Positive,Spayed,Female
72,Miniature Schnauzer Mix,,Gray/White,Adoption,Positive,Spayed,Female
120,Miniature Schnauzer Mix,,Black,Adoption,Positive,Spayed,Female
24,Miniature Schnauzer Mix,,Gray,Adoption,Positive,Spayed,Female
24,Miniature Schnauzer Mix,,Gray,Adoption,Positive,Spayed,Female
24,Miniature Schnauzer Mix,,Blue/Tan,Adoption,Positive,Spayed,Female
48,Miniature Schnauzer Mix,,White,Adoption,Positive,Spayed,Female
24,Miniature Schnauzer Mix,,White,Adoption,Positive,Spayed,Female
72,Miniature Schnauzer Mix,,Gray,Adoption,Positive,Spayed,Female
60,Miniature Schnauzer Mix,,Chocolate,Adoption,Positive,Spayed,Female
108,Miniature Schnauzer,,White,Adoption,Positive,Neutered,Male
36,Miniature Schnauzer,,Silver/Black,Adoption,Positive,Neutered,Male
72,Miniature Schnauzer,,Black,Adoption,Positive,Neutered,Male
108,Miniature Schnauzer,,Gray,Adoption,Positive,Neutered,Male
4,Miniature Schnauzer,,Gray/Black,Adoption,Positive,Spayed,Female
36,Miniature Poodle,Yorkshire Terrier,Brown,Adoption,Positive,Spayed,Female
168,Miniature Poodle,Shih Tzu,White/Black,Adoption,Positive,Neutered,Male
120,Miniature Poodle,Pomeranian,Black,Adoption,Positive,Neutered,Male
144,Miniature Poodle,Miniature Schnauzer,White,Adoption,Positive,Intact,Female
24,Miniature Poodle,Miniature Schnauzer,Buff,Adoption,Positive,Intact,Male
12,Miniature Poodle,Miniature Schnauzer,White,Adoption,Positive,Neutered,Male
12,Miniature Poodle,Miniature Schnauzer,Silver/Tan,Adoption,Positive,Neutered,Male
12,Miniature Poodle,Miniature Schnauzer,Black,Adoption,Positive,Neutered,Male
24,Miniature Poodle,Miniature Schnauzer,Black/White,Adoption,Positive,Neutered,Male
36,Miniature Poodle,Miniature Schnauzer,White,Adoption,Positive,Neutered,Male
24,Miniature Poodle,Miniature Schnauzer,Black,Adoption,Positive,Neutered,Male
3,Miniature Poodle,Miniature Schnauzer,Chocolate,Adoption,Positive,Spayed,Female
12,Miniature Poodle,Miniature Schnauzer,White,Adoption,Positive,Spayed,Female
72,Miniature Poodle,Miniature Schnauzer,Black/Brown,Adoption,Positive,Spayed,Female
24,Miniature Poodle,Miniature Schnauzer,Cream,Adoption,Positive,Spayed,Female
60,Miniature Poodle,Miniature Schnauzer,Black,Adoption,Positive,Spayed,Female
12,Miniature Poodle,Maltese,White,Adoption,Positive,Neutered,Male
24,Miniature Poodle,Maltese,White/Buff,Adoption,Positive,Neutered,Male
12,Miniature Poodle,Maltese,Cream,Adoption,Positive,Spayed,Female
24,Miniature Poodle,Maltese,Cream,Adoption,Positive,Spayed,Female
12,Miniature Poodle,Lhasa Apso,White/Gray,Adoption,Positive,Spayed,Female
5,Miniature Poodle,Labrador Retriever,White,Adoption,Positive,Neutered,Male
12,Miniature Poodle,Labrador Retriever,White/Black,Adoption,Positive,Neutered,Male
36,Miniature Poodle,Italian Greyhound,Gray,Adoption,Positive,Neutered,Male
12,Miniature Poodle,Havanese,White,Adoption,Positive,Neutered,Male
12,Miniature Poodle,Golden Retriever,White,Adoption,Positive,Intact,Male
12,Miniature Poodle,English Cocker Spaniel,Cream,Adoption,Positive,Spayed,Female
