Pet_ageMonths,Breed_primary,Breed_secondary,Color,Outcome_Type,Outcome_Rating,Fixed,Sex,pet_id
96.0,Maltese Mix,,White,Adoption,Positive,Neutered,Male,1873
108.0,Maltese Mix,,White,Adoption,Positive,Neutered,Male,1874
36.0,Maltese Mix,,White,Adoption,Positive,Neutered,Male,1875
3.0,Maltese Mix,,White/Tan,Adoption,Positive,Spayed,Female,1876
4.0,Maltese Mix,,Buff,Adoption,Positive,Spayed,Female,1877
12.0,Maltese Mix,,White/Brown,Adoption,Positive,Spayed,Female,1878
12.0,Maltese Mix,,White,Adoption,Positive,Spayed,Female,1879
60.0,Maltese Mix,,White,Adoption,Positive,Spayed,Female,1880
120.0,Maltese Mix,,White,Adoption,Positive,Spayed,Female,1881
48.0,Maltese Mix,,White,Adoption,Positive,Spayed,Female,1882
72.0,Maltese Mix,,White/Gray,Adoption,Positive,Spayed,Female,1883
72.0,Maltese Mix,,White,Adoption,Positive,Spayed,Female,1884
120.0,Maltese Mix,,White,Adoption,Positive,Spayed,Female,1885
84.0,Maltese Mix,,White,Adoption,Positive,Spayed,Female,1886
3.0,Maltese,,White/Cream,Adoption,Positive,Neutered,Male,1887
12.0,Maltese,,White,Adoption,Positive,Neutered,Male,1888
72.0,Maltese,,White,Adoption,Positive,Neutered,Male,1889
84.0,Maltese,,White,Adoption,Positive,Neutered,Male,1890
60.0,Maltese,,White,Adoption,Positive,Neutered,Male,1891
36.0,Maltese,,White,Adoption,Positive,Neutered,Male,1892
60.0,Maltese,,White,Adoption,Positive,Neutered,Male,1893
60.0,Maltese,,White,Adoption,Positive,Spayed,Female,1894
60.0,Maltese,,White,Adoption,Positive,Spayed,Female,1895
120.0,Maltese,,White,Adoption,Positive,Spayed,Female,1896
60.0,Maltese,,White,Adoption,Positive,Spayed,Female,1897
84.0,Maltese,,White,Adoption,Positive,Spayed,Female,1898
60.0,Maltese,,White,Adoption,Positive,Spayed,Female,1899
60.0,Maltese,,White,Adoption,Positive,Spayed,Female,1900
36.0,Maltese,,White,Adoption,Positive,Spayed,Female,1901
132.0,Lowchen Mix,,White,Adoption,Positive,Spayed,Female,1902
24.0,Lhasa Apso,Miniature Schnauzer,Gray/White,Adoption,Positive,Spayed,Female,1903
36.0,Lhasa Apso,Miniature Poodle,Black,Adoption,Positive,Neutered,Male,1904
120.0,Lhasa Apso,Miniature Poodle,Cream,Adoption,Positive,Neutered,Male,1905
2.0,Lhasa Apso,Dachshund,White,Adoption,Positive,Neutered,Male,1906
60.0,Lhasa Apso Mix,,White,Adoption,Positive,Neutered,Male,1907
48.0,Lhasa Apso Mix,,Black/White,Adoption,Positive,Neutered,Male,1908
5.0,Leonberger Mix,,Brown/White,Adoption,Positive,Intact,Male,1909
8.0,Leonberger Mix,,Brown Brindle/White,Adoption,Positive,Neutered,Male,1910
3.0,Leonberger Mix,,Brown/White,Adoption,Positive,Neutered,Male,1911
2.0,Leonberger Mix,,Tan/Black,Adoption,Positive,Neutered,Male,1912
108.0,Leonberger Mix,,Red/Black,Adoption,Positive,Spayed,Female,1913
6.0,Landseer Mix,,Black/White,Adoption,Positive,Neutered,Male,1914
12.0,Landseer Mix,,Black/White,Adoption,Positive,Neutered,Male,1915
24.0,Landseer Mix,,White/Black,Adoption,Positive,Neutered,Male,1916
24.0,Landseer Mix,,White/Black,Adoption,Positive,Neutered,Male,1917
48.0,Landseer Mix,,Black/White,Adoption,Positive,Neutered,Male,1918
9.0,Labrador Retriever,Vizsla,Gold,Adoption,Positive,Neutered,Male,1919
12.0,Labrador Retriever,Vizsla,Red,Adoption,Positive,Spayed,Female,1920
3.0,Labrador Retriever,Standard Schnauzer,Black/White,Adoption,Positive,Neutered,Male,1921
8.0,Labrador Retriever,Standard Poodle,Black,Adoption,Positive,Neutered,Male,1922
2.0,Labrador Retriever,Standard Poodle,Black,Adoption,Positive,Neutered,Male,1923
9.0,Labrador Retriever,Staffordshire,Black/White,Adoption,Positive,Intact,Female,1924
2.0,Labrador Retriever,Staffordshire,White/Brown Brindle,Adoption,Positive,Intact,Female,1925
2.0,Labrador Retriever,Staffordshire,Black/White,Adoption,Positive,Neutered,Male,1926
5.0,Labrador Retriever,Staffordshire,Black/White,Adoption,Positive,Spayed,Female,1927
2.0,Labrador Retriever,Spanish Water Dog,Black/White,Adoption,Positive,Neutered,Male,1928
2.0,Labrador Retriever,Siberian Husky,Tan/White,Adoption,Positive,Neutered,Male,1929
72.0,Labrador Retriever,Siberian Husky,Brown,Adoption,Positive,Neutered,Male,1930
24.0,Labrador Retriever,Rottweiler,Black/Brown,Adoption,Positive,Neutered,Male,1931
24.0,Labrador Retriever,Rottweiler,Black/White,Adoption,Positive,Neutered,Male,1932
36.0,Labrador Retriever,Rottweiler,Black,Adoption,Positive,Neutered,Male,1933
24.0,Labrador Retriever,Rottweiler,Black,Adoption,Positive,Neutered,Male,1934
8.0,Labrador Retriever,Rottweiler,Black,Adoption,Positive,Spayed,Female,1935
11.0,Labrador Retriever,Rhod Ridgeback,Black/White,Adoption,Positive,Neutered,Male,1936
5.0,Labrador Retriever,Rhod Ridgeback,Brown,Adoption,Positive,Neutered,Male,1937
12.0,Labrador Retriever,Rhod Ridgeback,Tan/Red,Adoption,Positive,Spayed,Female,1938
36.0,Labrador Retriever,Redbone Hound,Sable/White,Adoption,Positive,Spayed,Female,1939
12.0,Labrador Retriever,Pointer,Black/White,Adoption,Positive,Neutered,Male,1940
12.0,Labrador Retriever,Pointer,Black/White,Adoption,Positive,Spayed,Female,1941
12.0,Labrador Retriever,Pointer,White/Brown,Adoption,Positive,Spayed,Female,1942
36.0,Labrador Retriever,Pointer,Chocolate/White,Adoption,Positive,Spayed,Female,1943
48.0,Labrador Retriever,Pointer,Black/White,Adoption,Positive,Spayed,Female,1944
12.0,Labrador Retriever,Plott Hound,Brown Brindle,Adoption,Positive,Neutered,Male,1945
12.0,Labrador Retriever,Plott Hound,Brown Brindle,Adoption,Positive,Neutered,Male,1946
24.0,Labrador Retriever,Plott Hound,Brown Brindle,Adoption,Positive,Spayed,Female,1947
1.0,Labrador Retriever,Pit Bull,White/Black,Adoption,Positive,Intact,Female,1948
12.0,Labrador Retriever,Pit Bull,Black/White,Adoption,Positive,Intact,Male,1949
2.0,Labrador Retriever,Pit Bull,Black/White,Adoption,Positive,Neutered,Male,1950
2.0,Labrador Retriever,Pit Bull,Black/White,Adoption,Positive,Neutered,Male,1951
2.0,Labrador Retriever,Pit Bull,Black/White,Adoption,Positive,Neutered,Male,1952
2.0,Labrador Retriever,Pit Bull,Tan,Adoption,Positive,Neutered,Male,1953
2.0,Labrador Retriever,Pit Bull,Tricolor,Adoption,Positive,Neutered,Male,1954
2.0,Labrador Retriever,Pit Bull,Brown Brindle/White,Adoption,Positive,Neutered,Male,1955
6.0,Labrador Retriever,Pit Bull,Chocolate/White,Adoption,Positive,Neutered,Male,1956
9.0,Labrador Retriever,Pit Bull,Brown Brindle,Adoption,Positive,Neutered,Male,1957
2.0,Labrador Retriever,Pit Bull,Tan,Adoption,Positive,Neutered,Male,1958
5.0,Labrador Retriever,Pit Bull,Chocolate/White,Adoption,Positive,Neutered,Male,1959
2.0,Labrador Retriever,Pit Bull,Black/White,Adoption,Positive,Neutered,Male,1960
2.0,Labrador Retriever,Pit Bull,Tan,Adoption,Positive,Neutered,Male,1961
2.0,Labrador Retriever,Pit Bull,Black,Adoption,Positive,Neutered,Male,1962
12.0,Labrador Retriever,Pit Bull,Blue/White,Adoption,Positive,Neutered,Male,1963
12.0,Labrador Retriever,Pit Bull,White/Tan,Adoption,Positive,Neutered,Male,1964
24.0,Labrador Retriever,Pit Bull,Black/White,Adoption,Positive,Neutered,Male,1965
24.0,Labrador Retriever,Pit Bull,Black/White,Adoption,Positive,Neutered,Male,1966
24.0,Labrador Retriever,Pit Bull,Black/White,Adoption,Positive,Neutered,Male,1967
2.0,Labrador Retriever,Pit Bull,Brown/White,Adoption,Positive,Spayed,Female,1968
2.0,Labrador Retriever,Pit Bull,Black/White,Adoption,Positive,Spayed,Female,1969
2.0,Labrador Retriever,Pit Bull,Black/White,Adoption,Positive,Spayed,Female,1970
2.0,Labrador Retriever,Pit Bull,Black/White,Adoption,Positive,Spayed,Female,1971
5.0,Labrador Retriever,Pit Bull,Black/White,Adoption,Positive,Spayed,Female,1972
9.0,Labrador Retriever,Pit Bull,Black,Adoption,Positive,Spayed,Female,1973
5.0,Labrador Retriever,Pit Bull,Yellow,Adoption,Positive,Spayed,Female,1974
2.0,Labrador Retriever,Pit Bull,Blue/White,Adoption,Positive,Spayed,Female,1975
2.0,Labrador Retriever,Pit Bull,Brown Brindle/White,Adoption,Positive,Spayed,Female,1976
2.0,Labrador Retriever,Pit Bull,Brown Brindle/White,Adoption,Positive,Spayed,Female,1977
12.0,Labrador Retriever,Pit Bull,Black/White,Adoption,Positive,Spayed,Female,1978
12.0,Labrador Retriever,Pit Bull,Black/White,Adoption,Positive,Spayed,Female,1979
12.0,Labrador Retriever,Pit Bull,Black/White,Adoption,Positive,Spayed,Female,1980
12.0,Labrador Retriever,Pit Bull,Chocolate/White,Adoption,Positive,Spayed,Female,1981
24.0,Labrador Retriever,Pit Bull,Black/White,Adoption,Positive,Spayed,Female,1982
72.0,Labrador Retriever,Pit Bull,Black Smoke/White,Adoption,Positive,Spayed,Female,1983
2.0,Labrador Retriever,Newfoundland,Black,Adoption,Positive,Spayed,Female,1984
2.0,Labrador Retriever,Miniature Poodle,Cream/White,Adoption,Positive,Spayed,Female,1985
2.0,Labrador Retriever,Labrador Retriever,White,Adoption,Positive,Neutered,Male,1986
12.0,Labrador Retriever,Jack Russell Terrier,Black/White,Adoption,Positive,Neutered,Male,1987
12.0,Labrador Retriever,Jack Russell Terrier,White/Brown,Adoption,Positive,Neutered,Male,1988
3.0,Labrador Retriever,Greyhound,Tan/White,Adoption,Positive,Neutered,Male,1989
72.0,Labrador Retriever,Greyhound,Black,Adoption,Positive,Neutered,Male,1990
2.0,Labrador Retriever,Great Pyrenees,Black/White,Adoption,Positive,Neutered,Male,1991
8.0,Labrador Retriever,Great Pyrenees,Brown/White,Adoption,Positive,Neutered,Male,1992
2.0,Labrador Retriever,Great Pyrenees,Brown/White,Adoption,Positive,Neutered,Male,1993
12.0,Labrador Retriever,Great Pyrenees,Yellow,Adoption,Positive,Neutered,Male,1994
24.0,Labrador Retriever,Great Pyrenees,Yellow,Adoption,Positive,Neutered,Male,1995
24.0,Labrador Retriever,Great Pyrenees,Buff,Adoption,Positive,Neutered,Male,1996
24.0,Labrador Retriever,Great Pyrenees,Black/White,Adoption,Positive,Neutered,Male,1997
2.0,Labrador Retriever,Great Pyrenees,Black/White,Adoption,Positive,Spayed,Female,1998
12.0,Labrador Retriever,Great Pyrenees,Black,Adoption,Positive,Spayed,Female,1999
48.0,Labrador Retriever,Great Pyrenees,Tan,Adoption,Positive,Spayed,Female,2000
2.0,Labrador Retriever,Great Dane,Black/White,Adoption,Positive,Spayed,Female,2001
6.0,Labrador Retriever,Great Dane,Black/White,Adoption,Positive,Spayed,Female,2002
2.0,Labrador Retriever,Great Dane,Black/White,Adoption,Positive,Spayed,Female,2003
10.0,Labrador Retriever,Golden Retriever,White,Adoption,Positive,Neutered,Male,2004
7.0,Labrador Retriever,Golden Retriever,Yellow,Adoption,Positive,Spayed,Female,2005
24.0,Labrador Retriever,German Shepherd,Chocolate/White,Adoption,Positive,Intact,Male,2006
1.0,Labrador Retriever,German Shepherd,Cream/White,Adoption,Positive,Neutered,Male,2007
2.0,Labrador Retriever,German Shepherd,Tan,Adoption,Positive,Neutered,Male,2008
2.0,Labrador Retriever,German Shepherd,Black,Adoption,Positive,Neutered,Male,2009
5.0,Labrador Retriever,German Shepherd,Tan/Black,Adoption,Positive,Neutered,Male,2010
2.0,Labrador Retriever,German Shepherd,Chocolate,Adoption,Positive,Neutered,Male,2011
10.0,Labrador Retriever,German Shepherd,Brown/White,Adoption,Positive,Neutered,Male,2012
2.0,Labrador Retriever,German Shepherd,Chocolate,Adoption,Positive,Neutered,Male,2013
10.0,Labrador Retriever,German Shepherd,Black/White,Adoption,Positive,Neutered,Male,2014
2.0,Labrador Retriever,German Shepherd,Sable,Adoption,Positive,Neutered,Male,2015
2.0,Labrador Retriever,German Shepherd,Buff,Adoption,Positive,Neutered,Male,2016
5.0,Labrador Retriever,German Shepherd,Tan,Adoption,Positive,Neutered,Male,2017
12.0,Labrador Retriever,German Shepherd,Black/White,Adoption,Positive,Neutered,Male,2018
24.0,Labrador Retriever,German Shepherd,Brown/White,Adoption,Positive,Neutered,Male,2019
24.0,Labrador Retriever,German Shepherd,Black,Adoption,Positive,Neutered,Male,2020
24.0,Labrador Retriever,German Shepherd,Black,Adoption,Positive,Neutered,Male,2021
24.0,Labrador Retriever,German Shepherd,Yellow,Adoption,Positive,Neutered,Male,2022
60.0,Labrador Retriever,German Shepherd,Black,Adoption,Positive,Neutered,Male,2023
24.0,Labrador Retriever,German Shepherd,Black/Tan,Adoption,Positive,Neutered,Male,2024
120.0,Labrador Retriever,German Shepherd,Black/Tan,Adoption,Positive,Neutered,Male,2025
1.0,Labrador Retriever,German Shepherd,Black/White,Adoption,Positive,Spayed,Female,2026
1.0,Labrador Retriever,German Shepherd,Black/White,Adoption,Positive,Spayed,Female,2027
2.0,Labrador Retriever,German Shepherd,Black,Adoption,Positive,Spayed,Female,2028
5.0,Labrador Retriever,German Shepherd,Brown/Black,Adoption,Positive,Spayed,Female,2029
12.0,Labrador Retriever,German Shepherd,Tan/White,Adoption,Positive,Spayed,Female,2030
36.0,Labrador Retriever,German Shepherd,Sable,Adoption,Positive,Spayed,Female,2031
108.0,Labrador Retriever,German Shepherd,Buff/White,Adoption,Positive,Spayed,Female,2032
36.0,Labrador Retriever,German Shepherd,White,Adoption,Positive,Spayed,Female,2033
60.0,Labrador Retriever,German Shepherd,Black,Adoption,Positive,Spayed,Female,2034
3.0,Labrador Retriever,Flat Coat Retriever,Black/White,Adoption,Positive,Neutered,Male,2035
5.0,Labrador Retriever,Flat Coat Retriever,Black,Adoption,Positive,Spayed,Female,2036
9.0,Labrador Retriever,Doberman Pinsch,Black,Adoption,Positive,Neutered,Male,2037
4.0,Labrador Retriever,Doberman Pinsch,Black/Tan,Adoption,Positive,Neutered,Male,2038
9.0,Labrador Retriever,Doberman Pinsch,Black,Adoption,Positive,Spayed,Female,2039
6.0,Labrador Retriever,Dalmatian,White/Brown,Adoption,Positive,Neutered,Male,2040
2.0,Labrador Retriever,Dachshund,Black,Adoption,Positive,Spayed,Female,2041
11.0,Labrador Retriever,Dachshund,Black/White,Adoption,Positive,Spayed,Female,2042
36.0,Labrador Retriever,Dachshund,Black,Adoption,Positive,Spayed,Female,2043
12.0,Labrador Retriever,Collie Smooth,Black/White,Adoption,Positive,Neutered,Male,2044
12.0,Labrador Retriever,Collie Smooth,Chocolate,Adoption,Positive,Neutered,Male,2045
12.0,Labrador Retriever,Cocker Spaniel,Brown,Adoption,Positive,Neutered,Male,2046
2.0,Labrador Retriever,Cocker Spaniel,Gold/White,Adoption,Positive,Spayed,Female,2047
3.0,Labrador Retriever,Chow Chow,Yellow,Adoption,Positive,Neutered,Male,2048
12.0,Labrador Retriever,Chow Chow,Brown,Adoption,Positive,Neutered,Male,2049
12.0,Labrador Retriever,Chow Chow,Red/White,Adoption,Positive,Neutered,Male,2050
12.0,Labrador Retriever,Chow Chow,Brown,Adoption,Positive,Neutered,Male,2051
12.0,Labrador Retriever,Chow Chow,Yellow,Adoption,Positive,Neutered,Male,2052
36.0,Labrador Retriever,Chow Chow,Brown,Adoption,Positive,Neutered,Male,2053
36.0,Labrador Retriever,Chow Chow,Black,Adoption,Positive,Neutered,Male,2054
24.0,Labrador Retriever,Chow Chow,Black/Brown,Adoption,Positive,Neutered,Male,2055
3.0,Labrador Retriever,Chow Chow,Black/White,Adoption,Positive,Spayed,Female,2056
84.0,Labrador Retriever,Chow Chow,Red/Black,Adoption,Positive,Spayed,Female,2057
1.0,Labrador Retriever,Chinese Sharpei,White/Cream,Adoption,Positive,Neutered,Male,2058
12.0,Labrador Retriever,Chinese Sharpei,Black/White,Adoption,Positive,Neutered,Male,2059
12.0,Labrador Retriever,Chinese Sharpei,Black/White,Adoption,Positive,Neutered,Male,2060
36.0,Labrador Retriever,Chinese Sharpei,Black,Adoption,Positive,Neutered,Male,2061
3.0,Labrador Retriever,Chinese Sharpei,Black/White,Adoption,Positive,Spayed,Female,2062
96.0,Labrador Retriever,Chinese Sharpei,Black/White,Adoption,Positive,Spayed,Female,2063
24.0,Labrador Retriever,Chinese Sharpei,Yellow,Adoption,Positive,Spayed,Female,2064
72.0,Labrador Retriever,Chinese Sharpei,Tan,Adoption,Positive,Spayed,Female,2065
3.0,Labrador Retriever,Catahoula,Buff,Adoption,Positive,Neutered,Male,2066
12.0,Labrador Retriever,Catahoula,White/Black,Adoption,Positive,Neutered,Male,2067
24.0,Labrador Retriever,Catahoula,Black Brindle,Adoption,Positive,Neutered,Male,2068
3.0,Labrador Retriever,Catahoula,Brown Brindle/White,Adoption,Positive,Spayed,Female,2069
6.0,Labrador Retriever,Catahoula,White/Brown,Adoption,Positive,Spayed,Female,2070
12.0,Labrador Retriever,Catahoula,Black,Adoption,Positive,Spayed,Female,2071
12.0,Labrador Retriever,Catahoula,Chocolate,Adoption,Positive,Spayed,Female,2072
1.0,Labrador Retriever,Boxer,Tan/White,Adoption,Positive,Neutered,Male,2073
1.0,Labrador Retriever,Boxer,Black/White,Adoption,Positive,Neutered,Male,2074
1.0,Labrador Retriever,Boxer,White/Cream,Adoption,Positive,Neutered,Male,2075
1.0,Labrador Retriever,Boxer,White/Cream,Adoption,Positive,Neutered,Male,2076
12.0,Labrador Retriever,Boxer,Black,Adoption,Positive,Neutered,Male,2077
12.0,Labrador Retriever,Boxer,Tan/White,Adoption,Positive,Neutered,Male,2078
24.0,Labrador Retriever,Boxer,Brown/White,Adoption,Positive,Neutered,Male,2079
1.0,Labrador Retriever,Boxer,White/Cream,Adoption,Positive,Spayed,Female,2080
1.0,Labrador Retriever,Boxer,Tricolor,Adoption,Positive,Spayed,Female,2081
7.0,Labrador Retriever,Boxer,Tan/White,Adoption,Positive,Spayed,Female,2082
2.0,Labrador Retriever,Boxer,Tan/White,Adoption,Positive,Spayed,Female,2083
12.0,Labrador Retriever,Boxer,Brown/White,Adoption,Positive,Spayed,Female,2084
36.0,Labrador Retriever,Boxer,Black/White,Adoption,Positive,Spayed,Female,2085
24.0,Labrador Retriever,Boxer,Black/White,Adoption,Positive,Spayed,Female,2086
24.0,Labrador Retriever,Boxer,Brown/White,Adoption,Positive,Spayed,Female,2087
6.0,Labrador Retriever,Border Collie,Black/White,Adoption,Positive,Neutered,Male,2088
10.0,Labrador Retriever,Border Collie,Black/White,Adoption,Positive,Neutered,Male,2089
12.0,Labrador Retriever,Border Collie,Black/White,Adoption,Positive,Neutered,Male,2090
12.0,Labrador Retriever,Border Collie,Black/White,Adoption,Positive,Neutered,Male,2091
12.0,Labrador Retriever,Border Collie,Black/White,Adoption,Positive,Neutered,Male,2092
36.0,Labrador Retriever,Border Collie,Black/White,Adoption,Positive,Neutered,Male,2093
60.0,Labrador Retriever,Border Collie,Chocolate/White,Adoption,Positive,Neutered,Male,2094
36.0,Labrador Retriever,Border Collie,Black/White,Adoption,Positive,Neutered,Male,2095
1.0,Labrador Retriever,Border Collie,Tricolor,Adoption,Positive,Spayed,Female,2096
6.0,Labrador Retriever,Border Collie,Black/White,Adoption,Positive,Spayed,Female,2097
4.0,Labrador Retriever,Border Collie,Black/White,Adoption,Positive,Spayed,Female,2098
5.0,Labrador Retriever,Border Collie,Black/White,Adoption,Positive,Spayed,Female,2099
9.0,Labrador Retriever,Border Collie,Black/White,Adoption,Positive,Spayed,Female,2100
2.0,Labrador Retriever,Border Collie,Black/White,Adoption,Positive,Spayed,Female,2101
12.0,Labrador Retriever,Border Collie,Black,Adoption,Positive,Spayed,Female,2102
72.0,Labrador Retriever,Border Collie,Black/White,Adoption,Positive,Spayed,Female,2103
24.0,Labrador Retriever,Border Collie,Black/White,Adoption,Positive,Spayed,Female,2104
24.0,Labrador Retriever,Border Collie,Black,Adoption,Positive,Spayed,Female,2105
1.0,Labrador Retriever,Blue Lacy,Chocolate/White,Adoption,Positive,Neutered,Male,2106
1.0,Labrador Retriever,Blue Lacy,Black/White,Adoption,Positive,Neutered,Male,2107
2.0,Labrador Retriever,Blue Lacy,Blue/White,Adoption,Positive,Neutered,Male,2108
4.0,Labrador Retriever,Blue Lacy,Chocolate/White,Adoption,Positive,Neutered,Male,2109
4.0,Labrador Retriever,Blue Lacy,Black,Adoption,Positive,Neutered,Male,2110
1.0,Labrador Retriever,Blue Lacy,Tricolor,Adoption,Positive,Spayed,Female,2111
2.0,Labrador Retriever,Blue Lacy,Blue/White,Adoption,Positive,Spayed,Female,2112
6.0,Labrador Retriever,Black,Black/White,Adoption,Positive,Neutered,Male,2113
6.0,Labrador Retriever,Black,Black,Adoption,Positive,Spayed,Female,2114
12.0,Labrador Retriever,Black Mouth Cur,Sable,Adoption,Positive,Neutered,Male,2115
24.0,Labrador Retriever,Beauceron,Black/Tan,Adoption,Positive,Neutered,Male,2116
12.0,Labrador Retriever,Beagle,Tan/White,Adoption,Positive,Intact,Female,2117
48.0,Labrador Retriever,Beagle,Black/White,Adoption,Positive,Neutered,Male,2118
48.0,Labrador Retriever,Beagle,Brown,Adoption,Positive,Neutered,Male,2119
1.0,Labrador Retriever,Beagle,White/Black,Adoption,Positive,Spayed,Female,2120
12.0,Labrador Retriever,Beagle,Yellow,Adoption,Positive,Spayed,Female,2121
24.0,Labrador Retriever,Beagle,Tan,Adoption,Positive,Spayed,Female,2122
84.0,Labrador Retriever,Beagle,Black/White,Adoption,Positive,Spayed,Female,2123
60.0,Labrador Retriever,Beagle,Brown/White,Adoption,Positive,Spayed,Female,2124
6.0,Labrador Retriever,Basset Hound,Buff,Adoption,Positive,Neutered,Male,2125
24.0,Labrador Retriever,Basset Hound,Chocolate/White,Adoption,Positive,Neutered,Male,2126
6.0,Labrador Retriever,Basset Hound,Chocolate,Adoption,Positive,Spayed,Female,2127
1.0,Labrador Retriever,Australian Shepherd,Tricolor,Adoption,Positive,Neutered,Male,2128
12.0,Labrador Retriever,Australian Shepherd,White/Tan,Adoption,Positive,Neutered,Male,2129
12.0,Labrador Retriever,Australian Shepherd,White/Brown Brindle,Adoption,Positive,Neutered,Male,2130
1.0,Labrador Retriever,Australian Shepherd,Black/White,Adoption,Positive,Spayed,Female,2131
1.0,Labrador Retriever,Australian Shepherd,Black/White,Adoption,Positive,Spayed,Female,2132
1.0,Labrador Retriever,Australian Shepherd,Black/White,Adoption,Positive,Spayed,Female,2133
8.0,Labrador Retriever,Australian Shepherd,Black/White,Adoption,Positive,Spayed,Female,2134
6.0,Labrador Retriever,Australian Shepherd,Black,Adoption,Positive,Spayed,Female,2135
6.0,Labrador Retriever,Australian Kelpie,Tricolor,Adoption,Positive,Neutered,Male,2136
1.0,Labrador Retriever,Australian Cattle Dog,Tan/White,Adoption,Positive,Neutered,Male,2137
10.0,Labrador Retriever,Australian Cattle Dog,Black,Adoption,Positive,Neutered,Male,2138
12.0,Labrador Retriever,Australian Cattle Dog,Black/White,Adoption,Positive,Neutered,Male,2139
12.0,Labrador Retriever,Australian Cattle Dog,Red/White,Adoption,Positive,Neutered,Male,2140
12.0,Labrador Retriever,Australian Cattle Dog,Black/White,Adoption,Positive,Neutered,Male,2141
12.0,Labrador Retriever,Australian Cattle Dog,Brown/White,Adoption,Positive,Neutered,Male,2142
24.0,Labrador Retriever,Australian Cattle Dog,White/Brown,Adoption,Positive,Neutered,Male,2143
96.0,Labrador Retriever,Australian Cattle Dog,Red,Adoption,Positive,Neutered,Male,2144
36.0,Labrador Retriever,Australian Cattle Dog,Tan/White,Adoption,Positive,Neutered,Male,2145
8.0,Labrador Retriever,Australian Cattle Dog,Cream/White,Adoption,Positive,Spayed,Female,2146
8.0,Labrador Retriever,Australian Cattle Dog,Brown/White,Adoption,Positive,Spayed,Female,2147
2.0,Labrador Retriever,Australian Cattle Dog,Black/White,Adoption,Positive,Spayed,Female,2148
12.0,Labrador Retriever,Australian Cattle Dog,Black/White,Adoption,Positive,Spayed,Female,2149
12.0,Labrador Retriever,Australian Cattle Dog,Tan/White,Adoption,Positive,Spayed,Female,2150
12.0,Labrador Retriever,Australian Cattle Dog,White/Red Merle,Adoption,Positive,Spayed,Female,2151
12.0,Labrador Retriever,Australian Cattle Dog,Tan/White,Adoption,Positive,Spayed,Female,2152
24.0,Labrador Retriever,Australian Cattle Dog,White/Brown,Adoption,Positive,Spayed,Female,2153
24.0,Labrador Retriever,Australian Cattle Dog,Black/White,Adoption,Positive,Spayed,Female,2154
2.0,Labrador Retriever,Anatol Shepherd,White/Black,Adoption,Positive,Neutered,Male,2155
2.0,Labrador Retriever,Anatol Shepherd,Tan/White,Adoption,Positive,Neutered,Male,2156
2.0,Labrador Retriever,Anatol Shepherd,Sable/White,Adoption,Positive,Neutered,Male,2157
12.0,Labrador Retriever,Anatol Shepherd,White,Adoption,Positive,Neutered,Male,2158
10.0,Labrador Retriever,Anatol Shepherd,White/Tricolor,Adoption,Positive,Spayed,Female,2159
5.0,Labrador Retriever,Anatol Shepherd,White/Tan,Adoption,Positive,Spayed,Female,2160
2.0,Labrador Retriever,Anatol Shepherd,White/Black,Adoption,Positive,Spayed,Female,2161
2.0,Labrador Retriever,Anatol Shepherd,White/Black,Adoption,Positive,Spayed,Female,2162
2.0,Labrador Retriever,Anatol Shepherd,White/Tan,Adoption,Positive,Spayed,Female,2163
10.0,Labrador Retriever,Anatol Shepherd,Yellow,Adoption,Positive,Spayed,Female,2164
11.0,Labrador Retriever,American Bulldog,Cream,Adoption,Positive,Neutered,Male,2165
5.0,Labrador Retriever Mix,,Black/White,Adoption,Positive,Intact,Female,2166
8.0,Labrador Retriever Mix,,Black/White,Adoption,Positive,Intact,Male,2167
2.0,Labrador Retriever Mix,,White/Tan,Adoption,Positive,Intact,Female,2168
2.0,Labrador Retriever Mix,,Brown/Cream,Adoption,Positive,Intact,Male,2169
2.0,Labrador Retriever Mix,,Buff,Adoption,Positive,Intact,Female,2170
3.0,Labrador Retriever Mix,,Cream,Adoption,Positive,Intact,Male,2171
12.0,Labrador Retriever Mix,,Black/White,Adoption,Positive,Intact,Male,2172
60.0,Labrador Retriever Mix,,Gold,Adoption,Positive,Intact,Male,2173
156.0,Labrador Retriever Mix,,Black,Adoption,Positive,Intact,Male,2174
24.0,Labrador Retriever Mix,,Black,Adoption,Positive,Intact,Male,2175
120.0,Labrador Retriever Mix,,Buff,Adoption,Positive,Intact,Male,2176
1.0,Labrador Retriever Mix,,Cream/White,Adoption,Positive,Neutered,Male,2177
1.0,Labrador Retriever Mix,,Chocolate/White,Adoption,Positive,Neutered,Male,2178
1.0,Labrador Retriever Mix,,Black,Adoption,Positive,Neutered,Male,2179
1.0,Labrador Retriever Mix,,Black/White,Adoption,Positive,Neutered,Male,2180
1.0,Labrador Retriever Mix,,Brown/White,Adoption,Positive,Neutered,Male,2181
1.0,Labrador Retriever Mix,,Black/White,Adoption,Positive,Neutered,Male,2182
1.0,Labrador Retriever Mix,,Black/White,Adoption,Positive,Neutered,Male,2183
1.0,Labrador Retriever Mix,,Black/Brown,Adoption,Positive,Neutered,Male,2184
1.0,Labrador Retriever Mix,,Black/White,Adoption,Positive,Neutered,Male,2185
1.0,Labrador Retriever Mix,,White,Adoption,Positive,Neutered,Male,2186
1.0,Labrador Retriever Mix,,Tan/White,Adoption,Positive,Neutered,Male,2187
1.0,Labrador Retriever Mix,,Tricolor,Adoption,Positive,Neutered,Male,2188
