,AgeuponOutcome,AnimalID,AnimalType,Breed,Color,DateTime,ID,Name,OutcomeSubtype,OutcomeType,SexuponOutcome
5572,3 years,,Dog,Labrador Retriever/Great Pyrenees,White,2014-05-15 17:58:00,5573.0,Moonpie,,,Spayed Female
5573,2 months,,Dog,Catahoula Mix,Tan/White,2014-05-26 16:54:00,5574.0,,,,Intact Female
5574,1 year,,Dog,Chinese Sharpei Mix,Black/Brown,2016-02-11 12:01:00,5575.0,Kiko,,,Intact Male
5575,2 years,,Dog,Pit Bull Mix,Fawn/White,2015-12-30 18:46:00,5576.0,Stallone,,,Neutered Male
5576,1 year,,Dog,Yorkshire Terrier Mix,Black/Red,2015-10-27 18:12:00,5577.0,Willie,,,Intact Male
5577,2 years,,Dog,Chihuahua Shorthair Mix,Tan/White,2015-02-10 17:36:00,5578.0,Carli,,,Spayed Female
5578,1 month,,Dog,Labrador Retriever/Blue Lacy,Brown Brindle,2014-07-07 17:33:00,5579.0,Brindie,,,Spayed Female
5580,13 years,,Dog,Labrador Retriever Mix,White,2013-12-17 13:20:00,5581.0,Gus,,,Neutered Male
5581,4 years,,Dog,Great Pyrenees Mix,White/Tan,2015-12-03 15:05:00,5582.0,Sadie,,,Spayed Female
5586,3 years,,Dog,German Shepherd/Rottweiler,Brown/Black,2015-02-05 18:18:00,5587.0,Big Austin,,,Neutered Male
5587,8 years,,Dog,Australian Shepherd Mix,Black/White,2015-10-11 18:12:00,5588.0,Cody,,,Neutered Male
5588,5 years,,Dog,Cairn Terrier/Dachshund Wirehair,Black/Tan,2016-02-01 11:18:00,5589.0,Leto,,,Neutered Male
5590,2 years,,Dog,Pit Bull Mix,Red/White,2015-08-21 13:02:00,5591.0,Brett,,,Neutered Male
5593,13 years,,Dog,Lhasa Apso Mix,Brown/Black,2014-06-02 12:59:00,5594.0,Sissy,,,Spayed Female
5594,1 year,,Dog,Plott Hound Mix,Brown Brindle/White,2014-09-29 17:21:00,5595.0,Remi,,,Spayed Female
5595,4 months,,Dog,Miniature Schnauzer Mix,Tan/White,2015-10-08 11:48:00,5596.0,Voochie,,,Intact Male
5597,6 months,,Dog,Vizsla Mix,Red,2014-12-09 19:05:00,5598.0,,,,Neutered Male
5599,3 years,,Dog,English Bulldog Mix,Brown Brindle/White,2014-11-19 17:40:00,5600.0,Biah,,,Spayed Female
5601,8 years,,Dog,Maltese,White,2014-02-24 14:47:00,5602.0,Angel,,,Spayed Female
5602,2 years,,Dog,Chihuahua Shorthair Mix,Buff/White,2014-06-06 11:14:00,5603.0,Spartan,,,Neutered Male
5604,4 years,,Dog,Maltese/Lhasa Apso,Black/White,2015-02-26 17:01:00,5605.0,Rufy,,,Neutered Male
5607,2 years,,Dog,Labrador Retriever Mix,Yellow,2015-10-08 10:24:00,5608.0,Spike,,,Neutered Male
5610,9 years,,Dog,Shih Tzu Mix,White/Black,2014-10-25 15:13:00,5611.0,,,,Intact Female
5612,2 years,,Dog,Catahoula Mix,Blue Merle/Tan,2015-09-22 18:07:00,5613.0,Louie,,,Neutered Male
5613,1 year,,Dog,Chihuahua Shorthair Mix,Tan/White,2014-02-14 17:33:00,5614.0,Leelo,,,Neutered Male
5614,2 years,,Dog,Labrador Retriever Mix,Tan/White,2015-07-12 19:04:00,5615.0,Piper,,,Spayed Female
5616,2 months,,Dog,Labrador Retriever/Pointer,White/Black,2014-08-18 15:34:00,5617.0,,,,Intact Female
5619,3 years,,Dog,Siberian Husky,Black/White,2015-07-16 13:39:00,5620.0,Kenji,,,Neutered Male
5620,2 months,,Dog,Labrador Retriever Mix,Tan,2015-03-03 17:12:00,5621.0,Bailey,,,Spayed Female
5621,1 year,,Dog,Pit Bull Mix,Fawn/White,2015-11-16 16:43:00,5622.0,Boss,,,Neutered Male
5623,1 year,,Dog,Labrador Retriever Mix,Chocolate/White,2014-12-17 12:38:00,5624.0,Snickers,,,Spayed Female
5624,2 years,,Dog,Pit Bull Mix,Tan/White,2015-01-13 13:25:00,5625.0,Malachite,,,Neutered Male
5625,4 years,,Dog,Maltese Mix,White,2014-03-15 12:11:00,5626.0,Harrison,,,Neutered Male
5626,1 year,,Dog,Cardigan Welsh Corgi/Dachshund,Brown,2014-06-21 12:25:00,5627.0,Jeffrey,,,Neutered Male
5627,4 years,,Dog,Boston Terrier Mix,Black/White,2014-05-27 11:38:00,5628.0,Cholo,,,Neutered Male
5629,7 years,,Dog,Miniature Schnauzer Mix,Gray,2014-05-24 16:16:00,5630.0,Shadow,,,Neutered Male
5631,2 years,,Dog,Labrador Retriever/German Shepherd,Brown/Tan,2015-03-01 13:21:00,5632.0,Carly,,,Intact Female
5632,5 years,,Dog,Labrador Retriever Mix,Tan/Black,2015-09-12 12:55:00,5633.0,Tilly,,,Spayed Female
5634,5 weeks,,Dog,Border Collie/Labrador Retriever,Black/White,2013-12-14 16:41:00,5635.0,,,,Intact Male
5635,2 years,,Dog,Catahoula Mix,Sable,2015-08-13 13:41:00,5636.0,Wrangler,,,Intact Male
5636,2 years,,Dog,Pit Bull Mix,Blue/White,2014-10-21 13:46:00,5637.0,Paloma,,,Spayed Female
5638,10 years,,Dog,Dogo Argentino Mix,White,2014-07-04 14:06:00,5639.0,Blanca,,,Spayed Female
5640,6 years,,Dog,Blue Lacy,Black/White,2016-02-08 13:54:00,5641.0,Black,,,Neutered Male
5642,4 months,,Dog,Chihuahua Shorthair Mix,Black/Tan,2013-10-31 17:35:00,5643.0,,,,Spayed Female
5645,6 years,,Dog,Dachshund,Black/Brown,2013-11-23 14:11:00,5646.0,Otto,,,Intact Male
5648,4 months,,Dog,Pit Bull,Blue,2014-07-23 08:42:00,5649.0,,,,Intact Female
5652,2 months,,Dog,Pit Bull Mix,Brown/White,2014-01-30 16:59:00,5653.0,Ten,,,Neutered Male
5653,2 years,,Dog,Boston Terrier Mix,Brown Brindle/White,2014-11-07 16:34:00,5654.0,,,,Spayed Female
5655,8 years,,Dog,German Shepherd Mix,Sable,2014-03-29 17:36:00,5656.0,Aries,,,Neutered Male
5656,2 years,,Dog,Bull Terrier Mix,Brown Brindle/White,2016-02-19 16:13:00,5657.0,Wake,,,Neutered Male
5657,3 years,,Dog,American Staffordshire Terrier Mix,Brown/White,2015-10-10 17:13:00,5658.0,Baby,,,Spayed Female
5659,3 years,,Dog,Cairn Terrier Mix,White/Black,2015-11-21 11:08:00,5660.0,Maggie,,,Spayed Female
5661,4 years,,Dog,Labrador Retriever Mix,Brown,2014-04-23 18:12:00,5662.0,Diesel,,,Neutered Male
5667,1 year,,Dog,Tibetan Spaniel Mix,Red/White,2014-06-02 17:15:00,5668.0,Luke,,,Neutered Male
5668,8 months,,Dog,Pointer Mix,Black/White,2014-07-21 16:51:00,5669.0,Pancho,,,Neutered Male
5670,1 year,,Dog,Rat Terrier Mix,Tricolor,2015-10-31 17:37:00,5671.0,Oreo,,,Neutered Male
5671,1 year,,Dog,Miniature Pinscher Mix,Black/Tan,2013-12-09 17:01:00,5672.0,Bloo,,,Neutered Male
5673,4 years,,Dog,Siberian Husky,Black/White,2014-03-18 16:59:00,5674.0,Cody,,,Neutered Male
5674,4 months,,Dog,Labrador Retriever/Australian Kelpie,Black/Brown,2014-07-04 18:42:00,5675.0,,,,Intact Male
5675,7 years,,Dog,Pomeranian,Red,2015-03-26 16:11:00,5676.0,Winky,,,Spayed Female
5677,1 year,,Dog,Labrador Retriever/Golden Retriever,Yellow/White,2015-08-28 15:58:00,5678.0,Jack,,,Neutered Male
5678,4 years,,Dog,Chihuahua Shorthair/Manchester Terrier,Tricolor,2015-10-05 16:32:00,5679.0,Baileywick,,,Intact Male
5679,8 months,,Dog,Australian Cattle Dog Mix,White/Brown Brindle,2016-02-19 17:40:00,5680.0,Holly,,,Spayed Female
5680,3 years,,Dog,Labrador Retriever Mix,Black/White,2015-06-20 11:46:00,5681.0,Pantera,,,Spayed Female
5682,4 months,,Dog,Labrador Retriever Mix,Black/White,2015-07-22 18:53:00,5683.0,Viktor,,,Neutered Male
5683,2 years,,Dog,Pit Bull/Doberman Pinsch,Brown/Tan,2015-08-07 12:02:00,5684.0,Prim,,,Spayed Female
5684,5 months,,Dog,Pit Bull Mix,White/Black Brindle,2013-12-31 16:51:00,5685.0,Max,,,Neutered Male
5686,9 months,,Dog,Yorkshire Terrier/Chihuahua Shorthair,Black/Tan,2013-12-14 19:07:00,5687.0,,,,Neutered Male
5687,4 years,,Dog,Pit Bull Mix,Chocolate/White,2014-03-14 10:29:00,5688.0,Rocko,,,Neutered Male
5688,2 months,,Dog,German Shepherd/Labrador Retriever,Red/Black,2015-09-20 18:18:00,5689.0,Canela,,,Spayed Female
5691,2 months,,Dog,Lhasa Apso Mix,Gray/White,2014-06-23 14:51:00,5692.0,Parker,,,Intact Male
5692,6 years,,Dog,Miniature Poodle/Border Terrier,White,2015-03-05 18:37:00,5693.0,Chiquilin,,,Neutered Male
5694,1 year,,Dog,German Shepherd Mix,Buff/Black,2015-01-23 18:45:00,5695.0,Emma,,,Spayed Female
5695,1 year,,Dog,Lhasa Apso Mix,Brown,2015-03-25 11:24:00,5696.0,Lily,,,Intact Female
5697,1 month,,Dog,Beagle/German Shepherd,Black/Brown,2015-01-30 17:51:00,5698.0,Gunner,,,Neutered Male
5701,5 months,,Dog,Labrador Retriever Mix,Red/White,2014-05-05 11:13:00,5702.0,Captain,,,Neutered Male
5702,9 years,,Dog,Chihuahua Shorthair Mix,Tan/White,2015-01-08 16:35:00,5703.0,Choo Choo,,,Neutered Male
5703,4 years,,Dog,Chihuahua Shorthair Mix,Black/White,2015-03-12 18:24:00,5704.0,Angelo,,,Neutered Male
5705,3 months,,Dog,Belgian Malinois Mix,Brown/Black,2015-03-01 15:39:00,5706.0,Alley Cat,,,Spayed Female
5707,1 year,,Dog,Standard Schnauzer/Standard Poodle,Black/Tan,2014-10-10 12:34:00,5708.0,Harley,,,Neutered Male
5708,2 years,,Dog,Pit Bull Mix,White/Orange,2013-11-26 17:37:00,5709.0,Casey Jones,,,Neutered Male
5709,12 years,,Dog,Labrador Retriever Mix,White/Red,2014-02-06 11:16:00,5710.0,Doyle,,,Neutered Male
5710,2 years,,Dog,German Shepherd Mix,Brown/White,2015-01-06 17:34:00,5711.0,Zahn,,,Neutered Male
5711,2 years,,Dog,Chihuahua Shorthair/Pembroke Welsh Corgi,Tan/White,2015-04-03 12:04:00,5712.0,Jimmy,,,Neutered Male
5714,1 year,,Dog,German Shepherd/Australian Cattle Dog,Red Tick,2013-12-24 11:40:00,5715.0,Zooey,,,Spayed Female
5716,1 year,,Dog,Boxer/Labrador Retriever,Black/White,2014-02-25 11:56:00,5717.0,Lady,,,Spayed Female
5717,1 year,,Dog,Whippet/Labrador Retriever,Black/White,2015-01-09 17:50:00,5718.0,Fifi,,,Spayed Female
5722,2 months,,Dog,Yorkshire Terrier Mix,Black Smoke,2016-01-12 17:08:00,5723.0,Maya,,,Spayed Female
5723,10 years,,Dog,Chihuahua Shorthair Mix,Liver/Tan,2014-04-16 17:11:00,5724.0,Scamper,,,Neutered Male
5725,2 years,,Dog,Pit Bull Mix,Blue/White,2014-05-18 16:04:00,5726.0,Blue,,,Neutered Male
5726,6 months,,Dog,Pit Bull Mix,Black/White,2015-12-06 14:05:00,5727.0,Clause,,,Intact Male
5727,2 years,,Dog,American Bulldog Mix,White/Brown,2014-12-22 13:40:00,5728.0,Buster,,,Neutered Male
5730,1 year,,Dog,Toy Poodle Mix,Cream,2014-07-21 17:35:00,5731.0,,,,Neutered Male
5731,2 years,,Dog,Pit Bull Mix,Brown/White,2014-12-04 17:28:00,5732.0,Renee,,,Spayed Female
5732,1 year,,Dog,Pit Bull Mix,Blue/White,2014-07-23 08:43:00,5733.0,Shorty,,,Intact Male
5733,1 year,,Dog,Pit Bull Mix,Black/White,2014-12-18 18:50:00,5734.0,Wendell,,,Neutered Male
5736,1 year,,Dog,Miniature Poodle/Cairn Terrier,Gray/Tan,2015-11-11 18:05:00,5737.0,Beau,,,Neutered Male
5737,8 months,,Dog,Norfolk Terrier Mix,Tan/Black,2015-04-03 12:04:00,5738.0,Walnut,,,Spayed Female
5739,1 year,,Dog,Dutch Shepherd/Boxer,Brown Brindle/White,2014-04-27 18:06:00,5740.0,Hopscotch,,,Spayed Female
5740,3 years,,Dog,Labrador Retriever Mix,Yellow,2014-05-09 13:12:00,5741.0,Hopper,,,Neutered Male
5741,2 years,,Dog,West Highland Mix,Tan,2014-01-10 11:54:00,5742.0,Murphy,,,Neutered Male
5742,1 year,,Dog,Australian Kelpie Mix,Black/Tan,2015-06-07 16:41:00,5743.0,Bruno,,,Neutered Male
5745,7 years,,Dog,Pit Bull Mix,Red/White,2014-10-20 12:54:00,5746.0,Coffee,,,Spayed Female
5747,2 years,,Dog,Chihuahua Shorthair Mix,Brown/White,2015-07-27 17:36:00,5748.0,Bonnie,,,Spayed Female
5748,2 years,,Dog,Pointer Mix,White/Brown Brindle,2016-01-09 14:47:00,5749.0,Priscilla,,,Spayed Female
5750,2 years,,Dog,Dachshund Wirehair Mix,Black/Silver,2014-02-13 16:48:00,5751.0,Duke,,,Neutered Male
5752,11 months,,Dog,Australian Cattle Dog/German Shorthair Pointer,Chocolate/White,2015-05-22 16:36:00,5753.0,Snickers,,,Spayed Female
5753,6 years,,Dog,Boxer Mix,Chocolate,2015-07-15 13:48:00,5754.0,Chiqui,,,Spayed Female
5756,1 year,,Dog,Harrier,Brown/White,2014-10-14 14:57:00,5757.0,Roxie,,,Spayed Female
5757,7 years,,Dog,Chihuahua Shorthair Mix,Brown,2014-11-23 14:27:00,5758.0,Cinnamon,,,Spayed Female
5760,3 years,,Dog,Chihuahua Shorthair Mix,Black/White,2014-12-09 15:56:00,5761.0,Chaparro,,,Intact Male
5761,9 years,,Dog,Labrador Retriever Mix,Black/Gray,2013-11-10 10:44:00,5762.0,Sybil,,,Spayed Female
5762,14 years,,Dog,Miniature Schnauzer Mix,Silver/Tan,2014-03-15 18:40:00,5763.0,Pepper,,,Neutered Male
5767,10 months,,Dog,Blue Lacy Mix,Blue/Tricolor,2014-03-09 16:57:00,5768.0,Avery,,,Spayed Female
5768,2 years,,Dog,Pit Bull Mix,Brown Brindle/White,2014-03-07 15:48:00,5769.0,Jolene,,,Spayed Female
5771,2 months,,Dog,German Shepherd Mix,Black/Tan,2013-10-27 13:20:00,5772.0,,,,Intact Male
5774,6 years,,Dog,Labrador Retriever Mix,Chocolate,2015-11-04 11:49:00,5775.0,Bailey,,,Neutered Male
5775,2 years,,Dog,Pit Bull Mix,White/Brown,2014-02-10 17:16:00,5776.0,Cash,,,Neutered Male
5776,3 months,,Dog,Pit Bull Mix,Blue/White,2014-06-18 12:09:00,5777.0,Scarlett,,,Spayed Female
5778,1 month,,Dog,Australian Cattle Dog Mix,Black/White,2015-05-01 13:55:00,5779.0,June,,,Spayed Female
5779,6 months,,Dog,Chihuahua Shorthair Mix,Brown,2015-02-21 17:04:00,5780.0,Kiwi,,,Spayed Female
5781,2 years,,Dog,Dachshund/Chihuahua Shorthair,Chocolate/White,2014-11-05 15:41:00,5782.0,Roadbug,,,Neutered Male
5782,2 years,,Dog,Shih Tzu Mix,Black/White,2015-05-18 19:17:00,5783.0,,,,Spayed Female
5784,1 year,,Dog,Australian Kelpie,Black/White,2014-09-28 18:51:00,5785.0,Perth,,,Spayed Female
5785,2 months,,Dog,Dachshund/Chihuahua Shorthair,Brown,2014-08-03 18:13:00,5786.0,,,,Neutered Male
5786,6 years,,Dog,Doberman Pinsch Mix,Black/Tan,2015-02-18 18:26:00,5787.0,Roswell,,,Intact Male
5789,2 years,,Dog,Chihuahua Longhair/Cocker Spaniel,Buff,2015-07-08 17:07:00,5790.0,Peanut,,,Neutered Male
5790,1 year,,Dog,Yorkshire Terrier/Norfolk Terrier,Cream,2015-01-21 17:30:00,5791.0,King,,,Intact Male
5793,1 year,,Dog,Labrador Retriever/Australian Cattle Dog,Black/White,2015-02-19 18:39:00,5794.0,Cassidy,,,Intact Female
5796,3 years,,Dog,Great Pyrenees/Border Collie,Black/White,2014-02-23 18:08:00,5797.0,Panda,,,Neutered Male
5797,2 months,,Dog,Chihuahua Shorthair Mix,Brown/Black,2015-04-06 17:19:00,5798.0,,,,Neutered Male
5800,2 years,,Dog,Cairn Terrier Mix,White,2015-04-16 17:27:00,5801.0,Cocoa,,,Neutered Male
5803,2 years,,Dog,Pit Bull/Weimaraner,Gray/White,2015-02-04 12:32:00,5804.0,Kashi,,,Spayed Female
5805,2 years,,Dog,Pit Bull Mix,Brown Brindle/White,2014-06-26 15:36:00,5806.0,Capone,,,Neutered Male
5806,15 years,,Dog,Dachshund Mix,Black/Brown,2014-09-02 11:06:00,5807.0,Snoopy,,,Neutered Male
5807,2 years,,Dog,Labrador Retriever Mix,Brown Brindle/White,2014-02-18 15:20:00,5808.0,Sophia,,,Spayed Female
5809,5 years,,Dog,Miniature Poodle,Black,2013-12-26 17:00:00,5810.0,Raven,,,Neutered Male
5810,6 months,,Dog,Labrador Retriever Mix,Tan/White,2014-08-20 17:37:00,5811.0,,,,Spayed Female
5812,2 months,,Dog,Chihuahua Shorthair Mix,Tan,2015-09-07 14:57:00,5813.0,Errol,,,Neutered Male
5815,2 years,,Dog,American Pit Bull Terrier Mix,Fawn/White,2014-12-05 17:09:00,5816.0,Amber,,,Spayed Female
5818,6 years,,Dog,Pit Bull Mix,Fawn,2016-02-16 18:36:00,5819.0,Lola,,,Spayed Female
5819,2 years,,Dog,Catahoula/Labrador Retriever,Brown Brindle/White,2014-05-14 17:12:00,5820.0,Benjamin,,,Neutered Male
5820,1 year,,Dog,German Shepherd/Australian Cattle Dog,Black/Brown,2013-10-04 18:22:00,5821.0,,,,Intact Male
5824,4 years,,Dog,Keeshond Mix,Black/Brown,2015-05-04 12:35:00,5825.0,Baron,,,Neutered Male
5827,5 years,,Dog,Chihuahua Shorthair Mix,White/Black,2014-01-25 13:52:00,5828.0,Dobby,,,Spayed Female
5828,8 years,,Dog,German Shepherd Mix,Black/Brown,2014-05-04 18:23:00,5829.0,Sadie,,,Spayed Female
5832,6 years,,Dog,Pit Bull,White/Black Brindle,2015-06-23 13:22:00,5833.0,Pete,,,Neutered Male
5833,3 years,,Dog,German Shepherd Mix,Black/Brown,2014-03-23 18:46:00,5834.0,Gretchen,,,Spayed Female
5835,2 years,,Dog,Pit Bull Mix,Blue/White,2016-01-16 17:12:00,5836.0,Blue Bell,,,Spayed Female
5836,5 years,,Dog,Miniature Poodle,White/Black,2015-12-29 17:17:00,5837.0,Black Eyes,,,Neutered Male
5837,2 months,,Dog,Australian Kelpie Mix,Chocolate/Tan,2014-08-10 17:01:00,5838.0,Big Sis,,,Spayed Female
5838,1 year,,Dog,Miniature Poodle Mix,White,2015-12-17 16:57:00,5839.0,Isabel,,,Spayed Female
5839,2 years,,Dog,Labrador Retriever Mix,Buff,2014-10-09 14:15:00,5840.0,Chester,,,Neutered Male
5840,1 year,,Dog,Jack Russell Terrier/Brittany,Red/White,2013-10-20 18:02:00,5841.0,Andie,,,Spayed Female
5841,3 years,,Dog,Pit Bull Mix,Brown/White,2015-02-05 18:37:00,5842.0,Bruce,,,Neutered Male
5842,2 months,,Dog,Cairn Terrier/Chihuahua Shorthair,Fawn/White,2014-06-22 17:15:00,5843.0,Bennett,,,Neutered Male
5843,6 months,,Dog,German Shepherd Mix,Black/Tan,2016-01-13 16:30:00,5844.0,Pearl,,,Spayed Female
5844,5 months,,Dog,Chihuahua Shorthair/Schipperke,Black,2014-12-10 15:00:00,5845.0,,,,Spayed Female
5845,3 months,,Dog,Australian Cattle Dog/Australian Shepherd,Brown Merle/White,2013-12-13 11:32:00,5846.0,Sasha,,,Spayed Female
5846,6 years,,Dog,Chihuahua Shorthair Mix,Tan/White,2014-07-05 18:14:00,5847.0,Skippy,,,Neutered Male
5847,3 years,,Dog,Golden Retriever/Chow Chow,Tan,2015-08-28 13:02:00,5848.0,Bear,,,Neutered Male
5849,7 years,,Dog,German Shepherd/Rottweiler,Tan,2015-03-24 18:24:00,5850.0,Huey,,,Intact Male
5850,4 years,,Dog,Pit Bull Mix,Tan/White,2015-11-20 18:02:00,5851.0,Pepe,,,Neutered Male
5851,3 years,,Dog,Chihuahua Shorthair Mix,Brown/White,2015-02-27 13:52:00,5852.0,Dulce,,,Spayed Female
5854,3 years,,Dog,Labrador Retriever Mix,Brown Brindle/White,2015-03-27 11:34:00,5855.0,Lily,,,Spayed Female
5855,5 months,,Dog,Rhod Ridgeback Mix,Brown/White,2014-06-19 17:00:00,5856.0,Zeke,,,Neutered Male
5856,1 year,,Dog,Boxer Mix,White/Black,2013-10-05 17:05:00,5857.0,Raven,,,Spayed Female
5859,2 years,,Dog,Rat Terrier Mix,Tricolor,2014-05-31 15:06:00,5860.0,Pip,,,Neutered Male
5860,8 years,,Dog,Pointer Mix,White/Tan,2014-03-18 11:24:00,5861.0,Winston,,,Neutered Male
5861,1 month,,Dog,Manchester Terrier Mix,Brown/White,2015-01-27 12:18:00,5862.0,Sally,,,Intact Female
5862,1 year,,Dog,Chihuahua Shorthair Mix,Red,2015-02-04 14:58:00,5863.0,Lucy,,,Intact Female
5863,14 years,,Dog,Bichon Frise Mix,White,2016-01-12 12:50:00,5864.0,Dilly,,,Neutered Male
5864,2 months,,Dog,Border Collie Mix,White/Black,2014-02-21 17:46:00,5865.0,Simba,,,Neutered Male
5865,6 months,,Dog,Australian Cattle Dog Mix,White/Red,2016-02-10 18:28:00,5866.0,Merrilee,,,Spayed Female
5868,1 month,,Dog,Pit Bull Mix,Brown Brindle/White,2014-09-02 14:09:00,5869.0,Georgie,,,Intact Male
5869,3 years,,Dog,Labrador Retriever,Black,2015-03-13 13:42:00,5870.0,Freedom,,,Spayed Female
5870,2 years,,Dog,Pit Bull Mix,White/Tan,2015-01-20 10:03:00,5871.0,Rosalie,,,Spayed Female
5872,4 years,,Dog,Australian Cattle Dog Mix,Fawn,2015-03-16 16:51:00,5873.0,Justin,,,Neutered Male
5876,2 years,,Dog,Yorkshire Terrier Mix,Chocolate/Tan,2014-07-19 12:46:00,5877.0,Wolf,,,Neutered Male
5877,1 month,,Dog,Australian Shepherd Mix,Black/Tan,2013-12-04 17:28:00,5878.0,,,,Intact Male
5879,1 year,,Dog,Chihuahua Shorthair/Beagle,White/Tan,2014-05-10 16:04:00,5880.0,Milo,,,Neutered Male
5881,4 years,,Dog,Pit Bull Mix,Brown/White,2014-02-01 12:16:00,5882.0,Monster,,,Neutered Male
5884,1 year,,Dog,Chihuahua Shorthair,Black,2014-09-13 16:19:00,5885.0,Regina,,,Spayed Female
5885,2 years,,Dog,Chihuahua Longhair Mix,Red,2015-10-25 12:23:00,5886.0,Billy Beane,,,Intact Male
5888,7 years,,Dog,Harrier Mix,Tan/White,2014-11-29 15:19:00,5889.0,Gus,,,Neutered Male
5889,2 years,,Dog,Siberian Husky/Border Collie,Black/White,2014-09-14 18:17:00,5890.0,Luna,,,Spayed Female
5890,8 months,,Dog,German Shepherd/German Shepherd,Tan/White,2015-05-15 16:45:00,5891.0,Mari,,,Spayed Female
5893,11 years,,Dog,Rottweiler,Black/Brown,2014-04-23 17:13:00,5894.0,Niko,,,Neutered Male
5894,13 years,,Dog,Pomeranian Mix,Red,2015-11-03 18:17:00,5895.0,Livvy,,,Spayed Female
5896,2 months,,Dog,Beagle Mix,White/Black,2013-10-27 18:05:00,5897.0,,,,Neutered Male
5897,3 months,,Dog,Vizsla Mix,Red/White,2014-01-25 17:48:00,5898.0,Tyson,,,Neutered Male
5898,2 months,,Dog,Labrador Retriever Mix,Brown,2013-10-29 17:25:00,5899.0,Wiley,,,Neutered Male
5899,6 months,,Dog,Labrador Retriever Mix,Black,2013-12-01 11:36:00,5900.0,,,,Intact Female
5900,2 years,,Dog,Cairn Terrier/West Highland,Tan,2014-05-07 13:06:00,5901.0,,,,Neutered Male
5903,1 year,,Dog,Cocker Spaniel Mix,Black/White,2016-01-16 17:29:00,5904.0,Buddy,,,Neutered Male
5904,1 year,,Dog,Chihuahua Shorthair Mix,Black/Brown,2014-01-29 18:33:00,5905.0,Toby,,,Neutered Male
5906,4 years,,Dog,Labrador Retriever,Buff/Tan,2013-12-29 11:31:00,5907.0,Rocky,,,Neutered Male
5907,7 years,,Dog,Chow Chow,Tan,2014-10-29 11:00:00,5908.0,Salty Dog,,,Intact Male
5908,5 years,,Dog,Boxer,Brown Brindle/White,2015-11-23 19:13:00,5909.0,Tucker,,,Neutered Male
5912,3 years,,Dog,German Shepherd Mix,Black/Brown,2016-02-04 11:40:00,5913.0,Apple,,,Spayed Female
5913,7 years,,Dog,Boston Terrier,Brown Brindle/White,2014-12-01 18:12:00,5914.0,Maggie,,,Spayed Female
5915,3 years,,Dog,German Shepherd/Labrador Retriever,Brown/Black,2014-01-10 12:20:00,5916.0,Leo,,,Neutered Male
5918,3 years,,Dog,Maltese,White,2014-03-13 14:30:00,5919.0,Daisy Mae,,,Spayed Female
5923,14 years,,Dog,Toy Poodle Mix,White,2014-11-14 14:46:00,5924.0,,,,Intact Female
5924,1 year,,Dog,Pit Bull Mix,Fawn,2013-10-05 17:16:00,5925.0,Lobster,,,Spayed Female
5925,8 months,,Dog,Dachshund/Chihuahua Shorthair,Black/White,2015-12-26 11:40:00,5926.0,Gibson,,,Neutered Male
5927,1 year,,Dog,Border Collie/Pointer,Black/White,2015-03-12 18:18:00,5928.0,Willow,,,Spayed Female
5928,2 years,,Dog,English Coonhound Mix,Black/Brown,2015-11-13 14:17:00,5929.0,Alzeille,,,Intact Female
5929,2 months,,Dog,German Shepherd Mix,Red,2016-01-08 18:49:00,5930.0,Maraca,,,Spayed Female
5930,7 years,,Dog,Pit Bull Mix,Tan/White,2014-04-16 13:13:00,5931.0,Zoe,,,Spayed Female
5931,2 years,,Dog,Chihuahua Shorthair/Dachshund,Chocolate/White,2015-10-08 18:00:00,5932.0,Coco,,,Spayed Female
5933,6 months,,Dog,Rat Terrier Mix,White/Black,2016-01-12 00:00:00,5934.0,Eddie,,,Neutered Male
5935,4 years,,Dog,Pit Bull/Mastiff,Tan/White,2015-08-20 12:56:00,5936.0,Peto,,,Neutered Male
5936,11 months,,Dog,Labrador Retriever Mix,Tan/White,2015-09-21 18:39:00,5937.0,Henry,,,Neutered Male
5937,2 years,,Dog,Chihuahua Shorthair Mix,Black/White,2016-01-26 12:02:00,5938.0,Sadie,,,Spayed Female
5938,12 years,,Dog,Chihuahua Shorthair Mix,Tan,2015-03-02 18:56:00,5939.0,Pancha,,,Intact Female
5939,1 year,,Dog,Dachshund Mix,Tricolor,2014-08-16 16:21:00,5940.0,Manchitas,,,Spayed Female
5940,2 years,,Dog,Basenji Mix,Red,2013-11-07 14:55:00,5941.0,Buddy,,,Neutered Male
5941,2 months,,Dog,Australian Kelpie Mix,Black/White,2014-08-10 18:40:00,5942.0,Ringo,,,Neutered Male
5943,5 years,,Dog,German Shepherd Mix,Red,2014-12-16 11:25:00,5944.0,Zeus,,,Intact Male
5945,2 years,,Dog,Yorkshire Terrier,Black/Tan,2014-03-05 14:45:00,5946.0,Millie,,,Spayed Female
5946,1 year,,Dog,Chihuahua Shorthair Mix,Black/Brown,2015-09-13 19:34:00,5947.0,Elvira,,,Spayed Female
5948,3 years,,Dog,Chihuahua Shorthair Mix,White/Tricolor,2014-01-31 12:48:00,5949.0,Rocky,,,Neutered Male
5951,1 year,,Dog,Labrador Retriever Mix,Red,2014-04-20 17:11:00,5952.0,Bella,,,Spayed Female
5952,6 years,,Dog,Bullmastiff,Brown/Black,2015-10-28 11:25:00,5953.0,Butch,,,Neutered Male
5953,6 years,,Dog,Australian Shepherd Mix,Black/Brown,2014-07-18 13:02:00,5954.0,X,,,Intact Female
