,AnimalID,Name,DateTime,OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
1065,A673847,Steamer,2014-03-09 11:42:00,Transfer,Partner,Dog,Neutered Male,12 years,Cocker Spaniel Mix,Black/Brown
1067,A679941,,2014-06-05 14:17:00,Adoption,,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Red/White
1069,A719100,Max,2016-01-17 17:08:00,Return_to_owner,,Dog,Neutered Male,10 months,Anatol Shepherd Mix,Tan/Black
1072,A662398,Buddy,2013-11-01 15:23:00,Adoption,,Dog,Neutered Male,2 years,American Pit Bull Terrier Mix,Tan/White
1075,A696760,Chance,2015-02-11 16:55:00,Euthanasia,Suffering,Dog,Neutered Male,3 years,Labrador Retriever Mix,Black/White
1076,A676987,Skyler,2015-06-16 15:02:00,Adoption,,Dog,Spayed Female,1 year,German Shepherd/Labrador Retriever,Black Brindle/White
1077,A693553,Darrell,2014-12-14 16:29:00,Transfer,Partner,Dog,Neutered Male,4 years,Pug Mix,Fawn
1078,A670356,Siren,2014-01-11 18:07:00,Adoption,,Dog,Neutered Male,2 months,Chihuahua Shorthair Mix,Brown/Tan
1080,A669918,,2014-01-03 17:47:00,Adoption,,Dog,Spayed Female,3 months,Labrador Retriever Mix,Tan/White
1081,A680773,,2014-06-07 17:15:00,Transfer,Partner,Dog,Unknown,2 days,Dachshund Mix,Black
1085,A698184,Dolley,2015-05-29 15:37:00,Transfer,Partner,Dog,Spayed Female,3 years,Pit Bull Mix,Blue/White
1087,A715618,,2015-11-10 00:00:00,Transfer,Partner,Dog,Intact Male,2 years,Cardigan Welsh Corgi/Chihuahua Shorthair,Tan
1088,A696866,Jewel,2015-02-21 16:49:00,Adoption,Offsite,Dog,Spayed Female,5 years,Maltese Mix,White
1089,A588258,Diamond,2016-01-02 12:34:00,Adoption,Foster,Dog,Spayed Female,8 years,German Shepherd Mix,Black/Tan
1090,A669845,Smokey,2014-01-09 17:18:00,Transfer,Partner,Dog,Neutered Male,2 years,Pit Bull Mix,Blue/White
1098,A649865,Ruffles,2014-01-30 15:28:00,Return_to_owner,,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Tan
1099,A706342,Lois,2015-07-18 16:08:00,Adoption,,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Brown/White
1100,A708139,Swoberdie,2015-08-02 11:40:00,Return_to_owner,,Dog,Neutered Male,7 years,Labrador Retriever Mix,Black
1102,A703226,Princess,2015-05-31 17:01:00,Return_to_owner,,Dog,Spayed Female,2 years,Dachshund Mix,Brown
1103,A681025,Simone,2014-06-20 16:16:00,Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Red/White
1104,A707249,Hunter,2015-07-28 14:15:00,Transfer,Partner,Dog,Intact Male,7 years,German Shepherd,Sable
1106,A692000,Addy,2014-12-03 17:53:00,Adoption,,Dog,Spayed Female,9 months,Labrador Retriever Mix,Tan
1107,A716162,Joker,2015-11-16 17:37:00,Return_to_owner,,Dog,Neutered Male,1 year,Australian Cattle Dog Mix,Black/Brown
1108,A563302,Cypress,2015-10-31 14:57:00,Return_to_owner,,Dog,Neutered Male,6 years,Labrador Retriever,Buff
1109,A712549,Beau,2015-10-14 18:31:00,Adoption,,Dog,Neutered Male,2 years,Beauceron Mix,Black/Tan
1112,A694917,Alphonse,2015-02-02 14:41:00,Transfer,Partner,Dog,Neutered Male,1 year,Labrador Retriever Mix,Black/White
1114,A629077,Queenie,2015-09-18 18:14:00,Return_to_owner,,Dog,Spayed Female,7 years,Pit Bull Mix,White/Brown
1115,A720940,Justin,2016-02-19 17:28:00,Adoption,,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,White
1118,A671142,Francie,2014-02-01 15:14:00,Adoption,,Dog,Spayed Female,2 years,Beagle/Labrador Retriever,Brown/White
1119,A682649,Princess,2014-07-01 18:17:00,Return_to_owner,,Dog,Intact Female,4 months,American Pit Bull Terrier/Chinese Sharpei,Fawn/White
1122,A665782,,2013-11-02 11:41:00,Transfer,Partner,Dog,Spayed Female,4 months,Pit Bull Mix,Tricolor
1123,A685672,Honey,2014-08-20 18:42:00,Return_to_owner,,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Tan
1125,A674481,Gracie,2014-03-13 16:30:00,Return_to_owner,,Dog,Spayed Female,4 years,Dachshund Mix,Red Merle/White
1127,A719276,Posh,2016-01-18 19:48:00,Return_to_owner,,Dog,Spayed Female,16 years,Pekingese,White
1128,A707482,,2015-07-18 13:11:00,Transfer,Partner,Dog,Spayed Female,4 months,Dachshund Mix,Brown
1130,A681156,,2014-06-17 17:40:00,Adoption,,Dog,Neutered Male,3 months,Chihuahua Shorthair/Dachshund,Tan/White
1131,A673571,,2014-02-26 16:14:00,Euthanasia,Suffering,Dog,Intact Male,2 years,Cardigan Welsh Corgi Mix,Black/White
1132,A718609,Cierra,2016-01-13 13:12:00,Transfer,Partner,Dog,Intact Female,6 years,Chihuahua Shorthair Mix,White/Tan
1133,A702075,Rocky,2015-12-15 16:36:00,Adoption,Foster,Dog,Neutered Male,11 years,Rottweiler/Rhod Ridgeback,Brown/White
1135,A702178,Bailey,2015-05-15 17:29:00,Adoption,,Dog,Spayed Female,2 years,Australian Shepherd Mix,Black/Tricolor
1136,A716493,Missy,2015-11-22 16:33:00,Return_to_owner,,Dog,Spayed Female,9 years,Dachshund Mix,White/Brown
1138,A681489,Juni,2014-06-24 16:27:00,Adoption,,Dog,Spayed Female,3 years,Doberman Pinsch,Black/Brown
1139,A690977,Willie,2015-10-23 11:51:00,Adoption,,Dog,Neutered Male,2 years,Pekingese Mix,Tan/White
1141,A701124,Charlie,2015-05-05 17:37:00,Return_to_owner,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,White
1142,A619636,Boomer,2014-11-29 18:23:00,Adoption,,Dog,Neutered Male,3 years,Old English Bulldog Mix,White/Brown Brindle
1145,A681981,Lucy,2014-06-28 19:04:00,Adoption,,Dog,Spayed Female,2 years,Ibizan Hound Mix,Tan/White
1146,A616489,Lola,2014-10-16 18:47:00,Return_to_owner,,Dog,Spayed Female,3 years,Beagle Mix,Tan/White
1147,A634858,Maggie,2015-04-03 16:27:00,Adoption,,Dog,Spayed Female,3 years,Yorkshire Terrier Mix,Black/Brown
1149,A667185,Arya,2013-12-22 14:58:00,Adoption,,Dog,Spayed Female,2 years,Boston Terrier Mix,Black Brindle/White
1151,A700632,,2015-04-17 18:26:00,Return_to_owner,,Dog,Neutered Male,2 months,Chihuahua Shorthair Mix,Black/White
1157,A718145,Archie,2015-12-31 15:09:00,Return_to_owner,,Dog,Neutered Male,4 years,Labrador Retriever Mix,Tricolor
1159,A683670,Kylie,2014-07-18 14:53:00,Adoption,,Dog,Spayed Female,6 months,Dachshund/Whippet,Red/White
1161,A718264,Maya,2015-12-28 15:15:00,Return_to_owner,,Dog,Spayed Female,2 years,Pit Bull Mix,Red
1162,A690777,Cookie,2014-10-26 15:37:00,Return_to_owner,,Dog,Neutered Male,2 years,Rat Terrier Mix,Tan/White
1164,A673515,Charlie,2014-03-03 16:07:00,Adoption,,Dog,Neutered Male,2 years,Cairn Terrier Mix,Brown Brindle/White
1165,A699843,Hades,2015-04-07 17:12:00,Adoption,,Dog,Neutered Male,4 months,Rottweiler Mix,Black/Tan
1166,A720214,Blessing,2016-02-11 12:41:00,Adoption,,Dog,Spayed Female,3 years,Labrador Retriever Mix,Red/White
1167,A512959,Grif,2014-11-02 11:40:00,Adoption,,Dog,Neutered Male,6 years,German Shepherd Mix,Brown/Black
1169,A701765,Angel,2015-05-10 12:17:00,Adoption,,Dog,Spayed Female,2 years,Miniature Poodle Mix,White
1170,A701910,Maia,2015-05-17 16:50:00,Euthanasia,Behavior,Dog,Spayed Female,1 year,American Staffordshire Terrier Mix,Blue/White
1172,A713610,Poppi,2015-10-16 00:00:00,Transfer,Partner,Dog,Spayed Female,1 year,Labrador Retriever/Border Collie,Black/White
1173,A668844,Buster,2013-12-16 18:53:00,Adoption,,Dog,Neutered Male,1 year,Chihuahua Shorthair/Whippet,Brown Brindle
1174,A690349,Bandit,2014-10-20 18:42:00,Return_to_owner,,Dog,Spayed Female,2 years,German Shepherd Mix,Sable
1175,A715704,Happy,2015-11-27 13:45:00,Adoption,,Dog,Neutered Male,2 years,Boxer/Beagle,White/Brown
1176,A704921,Rita,2015-08-16 15:42:00,Adoption,,Dog,Spayed Female,4 months,Brittany/Labrador Retriever,Red
1177,A717068,Lapsidaisy,2016-01-29 18:54:00,Adoption,,Dog,Spayed Female,2 years,Black Mouth Cur/Australian Cattle Dog,Tan
1178,A700295,Robin,2015-09-18 12:38:00,Adoption,,Dog,Spayed Female,10 months,Labrador Retriever/Anatol Shepherd,White/Tricolor
1180,A665304,Flynn,2013-10-20 17:46:00,Adoption,,Dog,Neutered Male,2 months,Newfoundland/Australian Cattle Dog,Black/White
1181,A704894,Joy,2015-06-21 16:03:00,Adoption,,Dog,Spayed Female,8 months,Boxer Mix,Brown Brindle
1184,A551055,Riley,2014-06-07 12:26:00,Transfer,Partner,Dog,Neutered Male,11 years,Parson Russell Terrier Mix,White/Brown
1185,A693393,,2014-12-11 14:40:00,Transfer,Partner,Dog,Neutered Male,2 years,Bull Terrier,White
1186,A685904,Hudson,2014-11-09 17:12:00,Transfer,Partner,Dog,Neutered Male,2 years,American Bulldog Mix,Black/White
1188,A708958,,2015-08-13 16:07:00,Transfer,Partner,Dog,Neutered Male,10 months,Chihuahua Shorthair/Dachshund,Tricolor
1189,A717483,Skippy,2015-12-21 16:22:00,Adoption,,Dog,Neutered Male,3 years,Cardigan Welsh Corgi/Chihuahua Shorthair,Brown/White
1191,A675393,Cesar,2014-04-03 13:25:00,Transfer,Partner,Dog,Intact Male,1 year,Miniature Pinscher Mix,Black/Tan
1193,A670087,Benson,2014-01-01 19:24:00,Return_to_owner,,Dog,Neutered Male,7 years,Shih Tzu Mix,Black
1195,A665698,Fred,2013-10-29 14:22:00,Adoption,,Dog,Neutered Male,11 months,Black Mouth Cur Mix,Brown/Black
1196,A714227,Cari Blue,2015-11-08 14:14:00,Adoption,Foster,Dog,Spayed Female,2 years,Pit Bull Mix,Blue/White
1198,A695204,Duke,2015-01-26 17:02:00,Adoption,,Dog,Neutered Male,1 year,Rhod Ridgeback Mix,Tan
1199,A698896,,2015-03-25 18:56:00,Adoption,,Dog,Neutered Male,2 years,Miniature Schnauzer Mix,Black
1200,A638621,Betty,2013-12-29 17:33:00,Adoption,,Dog,Spayed Female,4 years,Pit Bull Mix,Fawn/White
1201,A686592,Cash,2014-08-24 14:01:00,Return_to_owner,,Dog,Intact Male,2 years,English Bulldog,Blue/White
1206,A678579,Mr. Cuddles,2014-05-16 18:39:00,Return_to_owner,,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Chocolate/Tan
1210,A689687,Crixus,2015-10-23 18:29:00,Return_to_owner,,Dog,Intact Male,2 years,Siberian Husky Mix,White
1211,A702845,,2015-05-24 18:52:00,Adoption,,Dog,Neutered Male,3 months,Bernese Mountain Dog Mix,Black/Tan
1212,A709954,Melvin,2015-08-23 11:14:00,Transfer,Partner,Dog,Neutered Male,3 years,Miniature Poodle Mix,Black
1214,A664768,Whit,2013-11-25 18:06:00,Adoption,,Dog,Neutered Male,5 months,Pit Bull,White
1216,A677556,,2014-05-01 16:29:00,Return_to_owner,,Dog,Spayed Female,4 years,Miniature Schnauzer Mix,Silver
1221,A714025,,2015-11-01 12:21:00,Transfer,Partner,Dog,Neutered Male,2 years,Yorkshire Terrier Mix,Brown
1224,A676176,,2014-04-09 12:15:00,Adoption,,Dog,Neutered Male,2 years,Australian Shepherd Mix,Tricolor/White
1227,A674671,,2014-03-17 13:35:00,Return_to_owner,,Dog,Intact Male,1 day,Pit Bull Mix,White/Black
1229,A687185,Pepsi,2014-09-09 18:40:00,Adoption,,Dog,Spayed Female,4 years,Chihuahua Shorthair Mix,Brown/White
1233,A711404,Adrianna,2015-09-09 17:30:00,Adoption,,Dog,Spayed Female,2 months,Chihuahua Shorthair Mix,Tan/White
1235,A612711,Ebenezer,2013-12-29 17:12:00,Return_to_owner,,Dog,Neutered Male,4 years,Dachshund,Black/Brown
1237,A664112,Grant,2013-10-05 11:47:00,Adoption,,Dog,Neutered Male,2 months,Labrador Retriever/Labrador Retriever,White
1239,A699391,Rocket,2015-03-30 17:00:00,Adoption,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Tricolor
1240,A699534,Fran,2015-04-07 11:59:00,Adoption,,Dog,Spayed Female,1 year,Pit Bull Mix,White/Black
1241,A690776,Charlie,2014-10-26 12:56:00,Transfer,Partner,Dog,Intact Male,2 months,Dachshund/Shih Tzu,Tan
1242,A702533,Lily,2015-07-03 16:50:00,Adoption,,Dog,Spayed Female,2 years,Pit Bull Mix,Black Brindle/White
1243,A716218,Ladybug,2015-11-17 18:28:00,Adoption,,Dog,Spayed Female,4 years,Australian Shepherd Mix,Chocolate/White
1244,A624436,Chico,2014-05-27 17:20:00,Return_to_owner,,Dog,Neutered Male,3 years,Parson Russell Terrier/Chihuahua Shorthair,White/Brown
1245,A596942,Poncho,2014-09-28 11:19:00,Return_to_owner,,Dog,Intact Male,8 years,Chihuahua Shorthair Mix,White/Tan
1246,A701045,Gus,2015-04-26 11:12:00,Return_to_owner,,Dog,Neutered Male,2 years,Pug Mix,Black
1247,A601482,Pepe,2015-10-29 15:54:00,Return_to_owner,,Dog,Neutered Male,7 years,Chow Chow/Australian Cattle Dog,Tan/Black
1248,A699191,Brownie,2015-10-09 13:39:00,Adoption,,Dog,Neutered Male,2 years,Pit Bull Mix,Brown/White
1249,A667545,Kooli,2013-11-23 16:23:00,Return_to_owner,,Dog,Neutered Male,8 months,Pit Bull/Mastiff,Red/White
1251,A215368,Guiness,2014-08-04 16:31:00,Return_to_owner,,Dog,Neutered Male,13 years,Newfoundland Mix,Black
1255,A698265,Brownie,2015-03-16 16:28:00,Transfer,Partner,Dog,Spayed Female,2 years,American Pit Bull Terrier,Chocolate/White
1256,A683700,Rocca,2014-07-15 15:55:00,Return_to_owner,,Dog,Spayed Female,5 years,Chihuahua Shorthair Mix,Red/White
1257,A698566,Winston,2015-03-27 17:10:00,Adoption,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,White/Tan
1258,A669977,Zeppo,2014-04-01 15:44:00,Euthanasia,Rabies Risk,Dog,Neutered Male,1 year,American Bulldog Mix,Blue/White
1260,A675639,Boomer,2015-12-17 12:27:00,Adoption,Foster,Dog,Neutered Male,3 years,Pit Bull Mix,Tan/White
1261,A701607,Rosco,2015-05-05 17:01:00,Return_to_owner,,Dog,Intact Male,1 year,Pit Bull Mix,White/Brown
1263,A686679,,2014-08-29 16:55:00,Transfer,Partner,Dog,Spayed Female,2 months,Cocker Spaniel Mix,White/Tan
1264,A692453,Shadow,2014-12-05 13:05:00,Transfer,Partner,Dog,Intact Female,2 years,Miniature Schnauzer,Black
1266,A674746,Toby,2015-11-27 11:29:00,Euthanasia,Suffering,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,White
1269,A688064,Blue,2014-12-23 11:56:00,Transfer,Partner,Dog,Neutered Male,10 months,Catahoula Mix,Chocolate/White
1270,A697171,Holli,2015-03-14 16:47:00,Adoption,,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Blue/Tan
1273,A697320,Chloe,2015-02-28 18:09:00,Return_to_owner,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Tan/White
1274,A714081,Barley,2015-10-22 18:11:00,Return_to_owner,,Dog,Neutered Male,4 years,Australian Shepherd Mix,Red
1275,A685603,Nolan,2014-08-14 16:11:00,Transfer,Partner,Dog,Intact Male,6 months,Catahoula Mix,Brown Merle
1277,A651306,Mason,2015-03-21 13:44:00,Adoption,,Dog,Neutered Male,3 years,Rottweiler,Black/Tan
1279,A694347,Max,2015-09-26 09:32:00,Transfer,Partner,Dog,Neutered Male,11 months,Black Mouth Cur Mix,Tan/Black
1285,A694398,,2014-12-29 14:07:00,Transfer,Partner,Dog,Intact Female,7 months,Labrador Retriever/Pembroke Welsh Corgi,Tan/White
1287,A670833,Shasta,2014-02-13 17:02:00,Transfer,Partner,Dog,Intact Female,1 year,Pit Bull Mix,Brown Brindle
1288,A720141,Driver,2016-02-06 17:58:00,Return_to_owner,,Dog,Neutered Male,2 years,Labrador Retriever Mix,Black
1289,A670391,Petey,2014-06-24 12:53:00,Adoption,,Dog,Neutered Male,2 years,Pit Bull Mix,Brown/White
1292,A665403,Spark,2013-10-21 19:05:00,Adoption,,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Yellow
1295,A700035,,2015-04-10 00:00:00,Transfer,Partner,Dog,Spayed Female,1 year,Miniature Schnauzer Mix,Black/Tan
1296,A705048,Nina,2015-06-16 17:15:00,Adoption,,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,White/Black
1298,A677733,Reese,2014-05-20 11:43:00,Transfer,Partner,Dog,Spayed Female,4 years,Carolina Dog Mix,Tan/White
1300,A685822,,2014-08-13 10:46:00,Euthanasia,Suffering,Dog,Intact Female,5 years,Pit Bull Mix,White/Black
1301,A448020,Friday,2014-09-13 13:38:00,Return_to_owner,,Dog,Spayed Female,14 years,Doberman Pinsch/German Shepherd,Black/Tan
1302,A693628,Bollita,2014-12-15 13:49:00,Return_to_owner,,Dog,Spayed Female,2 years,Great Pyrenees,White
1304,A702705,Adrianna,2015-08-08 17:45:00,Euthanasia,Aggressive,Dog,Spayed Female,1 year,Pit Bull Mix,Brown Brindle/White
1305,A669053,,2013-12-19 16:22:00,Transfer,Partner,Dog,Intact Male,4 months,Mastiff/Pit Bull,Black/White
1306,A616027,Gigi,2014-01-29 12:08:00,Return_to_owner,,Dog,Spayed Female,2 years,Australian Cattle Dog Mix,Brown
1308,A679555,Coco,2014-09-15 15:25:00,Adoption,,Dog,Spayed Female,9 months,Boston Terrier Mix,White
1311,A698564,Colby,2015-05-06 17:04:00,Adoption,,Dog,Neutered Male,1 month,Labrador Retriever/Boxer,Tan/White
1312,A679765,Frio,2014-05-29 17:36:00,Return_to_owner,,Dog,Neutered Male,3 years,Beagle Mix,Tricolor
1313,A719494,,2016-01-22 00:00:00,Return_to_owner,,Dog,Intact Female,1 year,Siberian Husky Mix,Silver/Black
1314,A685432,Dozer,2014-08-09 11:23:00,Return_to_owner,,Dog,Intact Male,6 years,English Bulldog Mix,Brown Brindle/White
1316,A706477,Spikey,2015-07-03 13:28:00,Transfer,Partner,Dog,Neutered Male,12 years,Boxer Mix,White/Red
1323,A682610,Thor,2014-08-01 17:48:00,Adoption,Foster,Dog,Spayed Female,1 month,Labrador Retriever Mix,Black/White
1325,A672400,,2014-02-09 14:59:00,Transfer,Partner,Dog,Intact Male,2 months,Yorkshire Terrier/Maltese,White
1328,A669934,Cookie,2014-01-07 15:37:00,Euthanasia,Aggressive,Dog,Intact Female,2 years,Pit Bull Mix,White/Tan
1329,A709997,Ryder,2015-08-26 12:32:00,Return_to_owner,,Dog,Intact Female,2 years,Pit Bull Mix,White/Brown
1330,A693125,Princess,2014-12-17 12:58:00,Adoption,,Dog,Spayed Female,6 years,Cardigan Welsh Corgi Mix,Brown Brindle/White
1331,A677668,,2014-04-30 14:36:00,Transfer,Partner,Dog,Intact Male,4 weeks,Blue Lacy/American Bulldog,Black/White
1332,A342480,Lucy,2015-05-20 12:25:00,Return_to_owner,,Dog,Spayed Female,14 years,Labrador Retriever Mix,Red/Tan
1333,A683655,,2014-07-17 17:58:00,Transfer,Partner,Dog,Neutered Male,5 months,Boxer Mix,Brown/White
1335,A673726,,2014-03-01 17:51:00,Transfer,Partner,Dog,Intact Female,1 month,Plott Hound Mix,Black/Brown Brindle
1336,A697603,Katie,2015-03-02 15:10:00,Transfer,Partner,Dog,Spayed Female,6 months,Australian Shepherd,Black/Tan
1338,A684687,Bodhi,2015-02-20 18:22:00,Adoption,,Dog,Neutered Male,1 year,Pit Bull Mix,Brown/White
1340,A713560,Grace,2015-10-13 16:52:00,Transfer,Partner,Dog,Spayed Female,3 years,St. Bernard Rough Coat Mix,Tricolor
1342,A688162,,2014-09-30 17:57:00,Transfer,Partner,Dog,Spayed Female,2 months,Australian Shepherd Mix,Tricolor
1344,A696833,Joey,2016-02-20 16:36:00,Adoption,Foster,Dog,Neutered Male,5 years,Staffordshire/Boston Terrier,Brown/White
1346,A673216,Rutherford,2014-02-21 15:25:00,Return_to_owner,,Dog,Intact Male,2 years,Maltese/Miniature Poodle,White
1347,A415589,Shadow,2015-05-28 19:09:00,Return_to_owner,,Dog,Spayed Female,10 years,Siberian Husky/Labrador Retriever,White/Tan
1348,A709200,Ladybird,2015-08-09 12:28:00,Adoption,,Dog,Intact Female,1 month,Chihuahua Shorthair/Pomeranian,Brown Brindle
1350,A688850,Darcey,2014-09-27 14:10:00,Adoption,,Dog,Spayed Female,3 years,Dachshund/Beagle,White/Tricolor
1351,A662147,Pup 6M,2014-01-27 18:33:00,Transfer,Partner,Dog,Neutered Male,6 months,Chihuahua Shorthair Mix,Brown/Black
1354,A697908,,2015-03-07 17:36:00,Adoption,,Dog,Spayed Female,1 year,Miniature Poodle/English Cocker Spaniel,Cream
1355,A283735,Angel,2015-01-22 19:17:00,Euthanasia,Suffering,Dog,Spayed Female,13 years,Doberman Pinsch Mix,Brown/Tan
1356,A687863,Sierra,2014-09-21 18:13:00,Adoption,,Dog,Spayed Female,2 years,Catahoula Mix,Chocolate/White
1357,A688536,Clyde,2014-09-24 18:48:00,Adoption,,Dog,Neutered Male,2 months,Labrador Retriever Mix,Black
1358,A685185,Roja,2014-08-11 17:55:00,Adoption,,Dog,Spayed Female,3 months,Great Pyrenees/Australian Cattle Dog,Cream/Red Tick
1359,A699933,Butterscotch,2015-06-06 15:50:00,Adoption,,Dog,Spayed Female,8 months,Labrador Retriever/Australian Cattle Dog,Cream/White
1360,A651299,Fiona,2014-03-31 13:05:00,Euthanasia,Aggressive,Dog,Spayed Female,2 years,Pit Bull,Blue/White
1361,A676143,Gordo,2014-04-14 17:00:00,Adoption,,Dog,Neutered Male,6 months,Labrador Retriever Mix,Yellow/White
1362,A711910,Zoey,2016-01-07 15:05:00,Return_to_owner,,Dog,Spayed Female,8 years,German Shorthair Pointer Mix,White/Liver
1363,A691281,Royce,2014-11-03 17:39:00,Adoption,,Dog,Neutered Male,8 months,Beagle,Tricolor
1364,A696637,,2015-02-13 16:00:00,Transfer,Partner,Dog,Neutered Male,1 year,Collie Rough Mix,White
1366,A703721,,2015-05-28 13:27:00,Transfer,Partner,Dog,Unknown,1 day,Anatol Shepherd Mix,Tricolor
1367,A648687,Lulu,2014-07-11 17:41:00,Return_to_owner,,Dog,Spayed Female,1 year,German Shepherd Mix,Black/Tan
1368,A672573,Biggie,2014-02-23 12:27:00,Adoption,,Dog,Neutered Male,2 years,Pit Bull/Australian Cattle Dog,White/Tan
1370,A667955,Pollie,2013-12-26 18:22:00,Adoption,,Dog,Spayed Female,2 years,Labrador Retriever Mix,Tan/White
1372,A716743,Fluffy,2015-11-30 17:08:00,Adoption,,Dog,Neutered Male,2 years,Maltese/Miniature Poodle,White/Tan
1374,A712883,Salaria,2015-09-30 16:15:00,Return_to_owner,,Dog,Spayed Female,3 years,German Shepherd Mix,Black/Brown
1376,A696055,Lady,2015-01-28 15:10:00,Return_to_owner,,Dog,Intact Female,1 year,Bull Terrier Mix,Brown Brindle/White
1377,A705526,Reno,2015-07-01 14:09:00,Transfer,Partner,Dog,Intact Male,10 years,Siberian Husky/German Shepherd,Buff
1379,A680444,,2014-06-06 12:02:00,Transfer,Partner,Dog,Neutered Male,6 years,Pug Mix,Tan/Black
1381,A716636,Higgins,2015-12-03 14:58:00,Transfer,Partner,Dog,Neutered Male,2 years,Lhasa Apso Mix,White
1383,A681006,Max,2014-06-15 11:56:00,Adoption,,Dog,Neutered Male,4 years,Yorkshire Terrier/Miniature Poodle,Black/Brown
1384,A584947,Lance,2013-11-11 13:32:00,Return_to_owner,,Dog,Neutered Male,11 years,Border Collie Mix,White/Brown
1385,A624189,Pyrex,2014-05-06 17:08:00,Return_to_owner,,Dog,Neutered Male,3 years,Labrador Retriever/Chow Chow,Black
1386,A674311,Bonita Bubbl,2014-03-15 17:49:00,Adoption,,Dog,Spayed Female,4 months,Bruss Griffon Mix,White/Tan
1387,A683466,Denver,2014-07-22 17:02:00,Adoption,,Dog,Neutered Male,6 months,Blue Lacy Mix,Buff/White
1389,A640416,Dawn,2014-09-06 18:57:00,Transfer,Partner,Dog,Spayed Female,4 years,Pit Bull Mix,White/Brown Brindle
1390,A677877,Cora,2014-04-30 17:29:00,Return_to_owner,,Dog,Intact Female,2 years,Siberian Husky Mix,Black/White
1391,A687624,Flint,2014-12-08 14:16:00,Adoption,,Dog,Neutered Male,1 year,Pit Bull Mix,Brown Brindle/White
1392,A696292,Diesel,2015-02-06 11:58:00,Return_to_owner,,Dog,Neutered Male,1 year,American Staffordshire Terrier Mix,Blue/White
1393,A693332,,2014-12-12 13:29:00,Adoption,,Dog,Spayed Female,2 years,Border Collie Mix,Black/White
1395,A692897,Bailey,2014-11-28 15:35:00,Return_to_owner,,Dog,Intact Male,11 years,Golden Retriever Mix,Gold
1397,A701185,Sadie,2015-04-29 14:09:00,Adoption,,Dog,Spayed Female,9 years,Labrador Retriever Mix,Black
1398,A652270,Lila,2013-12-19 11:35:00,Transfer,Partner,Dog,Spayed Female,9 months,Rhod Ridgeback Mix,Brown
1399,A701641,Ellie,2015-05-10 15:38:00,Transfer,Partner,Dog,Spayed Female,4 years,Dachshund Mix,Chocolate/White
1400,A705802,,2015-06-21 17:47:00,Transfer,Partner,Dog,Unknown,2 months,Treeing Walker Coonhound Mix,Tricolor
1403,A711598,Osita,2015-09-19 16:19:00,Return_to_owner,,Dog,Spayed Female,1 year,Chow Chow Mix,Tan
1407,A676606,Boudreaux,2014-04-18 12:02:00,Transfer,Partner,Dog,Neutered Male,4 months,Basenji/Chihuahua Longhair,Red/White
1409,A675932,Castiel,2014-04-29 16:00:00,Adoption,,Dog,Neutered Male,1 year,Border Collie Mix,Tricolor
1410,A701369,Lola,2015-04-29 12:15:00,Transfer,Partner,Dog,Intact Female,2 months,Miniature Poodle/Dachshund,Black/White
1411,A715280,Pauly,2015-11-08 00:00:00,Adoption,,Dog,Neutered Male,2 months,Labrador Retriever Mix,Tricolor
1413,A670260,,2014-01-04 17:52:00,Euthanasia,Suffering,Dog,Intact Female,12 years,Chow Chow Mix,Red
1414,A697604,Ziggy,2015-03-02 16:39:00,Adoption,,Dog,Spayed Female,6 months,Australian Shepherd Mix,Black/Brown
1415,A647886,Lucy,2015-03-26 12:25:00,Euthanasia,Medical,Dog,Intact Female,10 years,Staffordshire Mix,Red/White
1416,A705036,Charlie,2015-06-30 13:08:00,Transfer,Partner,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Tan/White
1417,A717842,Lorne,2015-12-23 18:10:00,Adoption,,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,White
1418,A695823,Figgy,2015-02-02 17:49:00,Adoption,Foster,Dog,Neutered Male,1 month,Cardigan Welsh Corgi Mix,White/Brown Brindle
1419,A681139,Bridget,2014-08-04 13:35:00,Transfer,Partner,Dog,Intact Female,2 years,Labrador Retriever Mix,Black
1420,A646980,Roscoe,2014-10-16 11:34:00,Transfer,Partner,Dog,Neutered Male,2 years,Bruss Griffon Mix,Tan/Black
1421,A671314,Max,2014-02-16 11:53:00,Adoption,,Dog,Neutered Male,10 months,Collie Rough Mix,White/Black
1422,A683676,Ziggy,2014-07-18 18:21:00,Adoption,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Black/White
